1541906418781,33.43,33.47,-0.04,-0.05
1541906418984,33.35,33.51,-0.16,-0.05
1541906419187,33.35,33.49,-0.14,-0.05
1541906419390,33.35,33.51,-0.16,-0.05
1541906419587,33.39,33.63,-0.24,-0.05
1541906419775,33.47,33.55,-0.08,-0.06
1541906419978,33.35,33.61,-0.26,-0.06
1541906420181,33.43,33.57,-0.14,-0.06
1541906420384,33.41,33.49,-0.08,-0.06
1541906420587,33.43,33.55,-0.12,-0.07
1541906420790,33.47,33.57,-0.10,-0.07
1541906420978,33.57,33.57,0.00,-0.07
1541906421181,33.51,33.57,-0.06,-0.07
1541906421384,33.51,33.49,0.02,-0.08
1541906421587,33.47,33.47,0.00,-0.08
1541906421775,33.51,33.57,-0.06,-0.08
1541906421978,33.51,33.49,0.02,-0.08
1541906422181,33.51,33.49,0.02,-0.08
1541906422384,33.41,33.51,-0.10,-0.08
1541906422587,33.39,33.51,-0.12,-0.08
1541906422775,33.29,33.55,-0.26,-0.08
1541906422978,33.33,33.51,-0.18,-0.08
1541906423181,33.39,33.51,-0.12,-0.08
1541906423384,33.41,33.55,-0.14,-0.08
1541906423572,33.41,33.61,-0.20,-0.08
1541906423775,33.39,33.55,-0.16,-0.08
1541906423978,33.43,33.57,-0.14,-0.08
1541906424181,33.51,33.61,-0.10,-0.08
1541906424385,33.51,33.63,-0.12,-0.08
1541906424572,33.63,33.55,0.08,-0.09
1541906424775,33.51,33.55,-0.04,-0.09
1541906424978,33.49,33.63,-0.14,-0.09
1541906425182,33.51,33.63,-0.12,-0.09
1541906425385,33.57,33.63,-0.06,-0.09
1541906425572,33.57,33.57,0.00,-0.09
1541906425775,33.61,33.57,0.04,-0.09
1541906425969,33.49,33.63,-0.14,-0.09
1541906426172,33.43,33.57,-0.14,-0.09
1541906426375,33.43,33.65,-0.22,-0.09
1541906426578,33.39,33.57,-0.18,-0.09
1541906426781,33.35,33.61,-0.26,-0.09
1541906426969,33.33,33.55,-0.22,-0.09
1541906427172,33.39,33.61,-0.22,-0.09
1541906427375,33.39,33.61,-0.22,-0.09
1541906427578,33.35,33.57,-0.22,-0.10
1541906427766,33.35,33.61,-0.26,-0.10
1541906427985,33.47,33.61,-0.14,-0.10
1541906428172,33.49,33.61,-0.12,-0.10
1541906428375,33.55,33.61,-0.06,-0.10
1541906428579,33.51,33.63,-0.12,-0.11
1541906428782,33.49,33.63,-0.14,-0.11
1541906428969,33.49,33.63,-0.14,-0.11
1541906429173,33.51,33.61,-0.10,-0.11
1541906429376,33.51,33.51,0.00,-0.11
1541906429563,33.43,33.57,-0.14,-0.11
1541906429782,33.49,33.61,-0.12,-0.11
1541906429969,33.43,33.61,-0.18,-0.11
1541906430172,33.39,33.55,-0.16,-0.11
1541906430376,33.39,33.51,-0.12,-0.11
1541906430579,33.49,33.55,-0.06,-0.11
1541906430782,33.43,33.57,-0.14,-0.11
1541906430970,33.47,33.61,-0.14,-0.11
1541906431173,33.43,33.55,-0.12,-0.12
1541906431376,33.47,33.63,-0.16,-0.12
1541906431579,33.51,33.65,-0.14,-0.12
1541906431766,33.51,33.69,-0.18,-0.12
1541906431970,33.55,33.63,-0.08,-0.12
1541906432173,33.57,33.61,-0.04,-0.12
1541906432376,33.51,33.65,-0.14,-0.12
1541906432579,33.55,33.65,-0.10,-0.12
1541906432766,33.47,33.65,-0.18,-0.12
1541906432970,33.51,33.63,-0.12,-0.12
1541906433173,33.55,33.61,-0.06,-0.12
1541906433376,33.51,33.61,-0.10,-0.11
1541906433564,33.47,33.63,-0.16,-0.11
1541906433767,33.47,33.55,-0.08,-0.11
1541906433970,33.47,33.63,-0.16,-0.11
1541906434173,33.51,33.57,-0.06,-0.11
1541906434376,33.51,33.57,-0.06,-0.11
1541906434579,33.51,33.65,-0.14,-0.11
