1540335419945,35.29,30.51,4.78,4.80
1540335420150,35.27,30.51,4.76,4.81
1540335420350,35.27,30.45,4.82,4.80
1540335420547,35.23,30.45,4.78,4.80
1540335420748,35.27,30.47,4.80,4.80
1540335420944,35.27,30.45,4.82,4.80
1540335421149,35.27,30.45,4.82,4.81
1540335421350,35.27,30.43,4.84,4.80
1540335421546,35.23,30.39,4.84,4.80
1540335421747,35.23,30.45,4.78,4.80
1540335421944,35.29,30.43,4.86,4.80
1540335422145,35.27,30.47,4.80,4.81
1540335422350,35.27,30.51,4.76,4.80
1540335422546,35.29,30.47,4.82,4.80
1540335422746,35.21,30.53,4.68,4.80
1540335422947,35.27,30.57,4.70,4.80
1540335423144,35.29,30.47,4.82,4.80
1540335423349,35.27,30.51,4.76,4.80
1540335423549,35.27,30.47,4.80,4.80
1540335423746,35.23,30.47,4.76,4.80
1540335423947,35.29,30.45,4.84,4.80
1540335424143,35.23,30.45,4.78,4.80
1540335424344,35.27,30.45,4.82,4.80
1540335424549,35.23,30.45,4.78,4.80
1540335424745,35.27,30.45,4.82,4.80
1540335424946,35.27,30.45,4.82,4.79
1540335425147,35.27,30.45,4.82,4.80
1540335425344,35.35,30.47,4.88,4.79
1540335425544,35.27,30.43,4.84,4.80
1540335425741,35.29,30.43,4.86,4.80
1540335425946,35.23,30.39,4.84,4.80
1540335426145,35.29,30.43,4.86,4.80
1540335426343,35.29,30.39,4.90,4.80
1540335426543,35.31,30.43,4.88,4.80
1540335426748,35.29,30.45,4.84,4.81
1540335426945,35.29,30.45,4.84,4.80
1540335427145,35.31,30.47,4.84,4.81
1540335427342,35.29,30.51,4.78,4.81
1540335427543,35.29,30.45,4.84,4.81
1540335427744,35.35,30.43,4.92,4.81
1540335427940,35.29,30.47,4.82,4.81
1540335428145,35.23,30.47,4.76,4.82
1540335428346,35.29,30.47,4.82,4.81
1540335428543,35.29,30.47,4.82,4.82
1540335428743,35.29,30.45,4.84,4.82
1540335428943,35.27,30.51,4.76,4.82
1540335429140,35.29,30.47,4.82,4.82
1540335429345,35.29,30.45,4.84,4.82
1540335429542,35.31,30.47,4.84,4.82
1540335429742,35.27,30.47,4.80,4.82
1540335429943,35.35,30.51,4.84,4.82
1540335430139,35.31,30.51,4.80,4.83
1540335430344,35.39,30.51,4.88,4.82
1540335430545,35.29,30.51,4.78,4.82
1540335430741,35.35,30.51,4.84,4.83
1540335430942,35.31,30.51,4.80,4.82
1540335431139,35.35,30.51,4.84,4.83
1540335431340,35.35,30.53,4.82,4.83
1540335431545,35.37,30.51,4.86,4.83
1540335431741,35.39,30.57,4.82,4.83
1540335431941,35.35,30.53,4.82,4.83
1540335432142,35.35,30.53,4.82,4.83
1540335432339,35.35,30.51,4.84,4.83
1540335432540,35.35,30.51,4.84,4.83
1540335432737,35.31,30.47,4.84,4.83
1540335432941,35.31,30.47,4.84,4.83
1540335433142,35.29,30.51,4.78,4.83
1540335433338,35.27,30.47,4.80,4.83
1540335433539,35.27,30.51,4.76,4.83
1540335433744,35.23,30.53,4.70,4.83
1540335433940,35.27,30.51,4.76,4.83
1540335434141,35.31,30.51,4.80,4.83
1540335434342,35.31,30.53,4.78,4.83
1540335434539,35.23,30.51,4.72,4.83
1540335434739,35.27,30.53,4.74,4.83
1540335434936,35.27,30.53,4.74,4.83
1540335435141,35.27,30.57,4.70,4.83
1540335435341,35.35,30.51,4.84,4.82
1540335435538,35.31,30.51,4.80,4.82
1540335435739,35.23,30.51,4.72,4.82
1540335435944,35.29,30.57,4.72,4.82
1540335436136,35.31,30.59,4.72,4.82
1540335436340,35.27,30.57,4.70,4.82
1540335436542,35.31,30.57,4.74,4.81
1540335436738,35.23,30.51,4.72,4.81
1540335436938,35.29,30.51,4.78,4.81
1540335437135,35.27,30.53,4.74,4.81
1540335437340,35.29,30.51,4.78,4.80
1540335437541,35.29,30.51,4.78,4.80
1540335437738,35.23,30.51,4.72,4.80
1540335437938,35.27,30.51,4.76,4.79
1540335438139,35.29,30.47,4.82,4.80
1540335438335,35.23,30.51,4.72,4.79
1540335438540,35.31,30.51,4.80,4.79
1540335438737,35.23,30.47,4.76,4.79
1540335438937,35.23,30.47,4.76,4.79
1540335439138,35.23,30.45,4.78,4.79
1540335439335,35.23,30.45,4.78,4.78
1540335439535,35.27,30.45,4.82,4.78
1540335439740,35.27,30.51,4.76,4.78
1540335439936,35.23,30.47,4.76,4.78
1540335440138,35.27,30.47,4.80,4.78
1540335440334,35.27,30.45,4.82,4.78
1540335440535,35.27,30.51,4.76,4.78
1540335440740,35.23,30.45,4.78,4.78
1540335440936,35.27,30.51,4.76,4.78
1540335441136,35.23,30.43,4.80,4.78
1540335441338,35.29,30.45,4.84,4.78
1540335441535,35.23,30.47,4.76,4.78
1540335441735,35.35,30.51,4.84,4.78
1540335441940,35.27,30.51,4.76,4.78
1540335442137,35.31,30.53,4.78,4.78
1540335442337,35.35,30.59,4.76,4.78
1540335442534,35.31,30.57,4.74,4.78
1540335442735,35.31,30.65,4.66,4.78
1540335442935,35.37,30.63,4.74,4.78
1540335443132,35.35,30.63,4.72,4.78
1540335443337,35.31,30.65,4.66,4.78
1540335443537,35.35,30.63,4.72,4.78
1540335443734,35.35,30.65,4.70,4.78
1540335443935,35.35,30.65,4.70,4.77
1540335444139,35.35,30.57,4.78,4.78
1540335444336,35.31,30.53,4.78,4.77
1540335444536,35.35,30.57,4.78,4.77
1540335444733,35.37,30.63,4.74,4.77
1540335444934,35.29,30.57,4.72,4.77
1540335445135,35.35,30.63,4.72,4.77
1540335445330,35.31,30.63,4.68,4.77
1540335445536,35.35,30.53,4.82,4.77
1540335445733,35.37,30.53,4.84,4.77
1540335445933,35.35,30.53,4.82,4.76
1540335446134,35.31,30.59,4.72,4.76
1540335446331,35.35,30.51,4.84,4.76
1540335446531,35.35,30.47,4.88,4.76
1540335446736,35.31,30.53,4.78,4.76
1540335446933,35.31,30.51,4.80,4.76
1540335447133,35.37,30.51,4.86,4.76
1540335447334,35.37,30.51,4.86,4.76
1540335447531,35.29,30.51,4.78,4.76
1540335447736,35.39,30.51,4.88,4.76
1540335447936,35.39,30.65,4.74,4.76
1540335448133,35.51,30.67,4.84,4.77
1540335448334,35.51,30.77,4.74,4.76
1540335448530,35.51,30.81,4.70,4.77
1540335448731,35.59,30.85,4.74,4.77
1540335448936,35.55,30.91,4.64,4.76
1540335449132,35.55,30.93,4.62,4.77
1540335449333,35.53,30.93,4.60,4.76
1540335449534,35.53,30.99,4.54,4.76
1540335449730,35.55,30.99,4.56,4.76
1540335449931,35.55,31.11,4.44,4.75
1540335450136,35.59,31.01,4.58,4.76
1540335450332,35.51,31.07,4.44,4.75
1540335450533,35.59,31.13,4.46,4.74
1540335450730,35.53,31.07,4.46,4.74
1540335450930,35.53,31.07,4.46,4.73
1540335451130,35.47,31.13,4.34,4.73
1540335451328,35.45,31.07,4.38,4.72
1540335451532,35.47,31.07,4.40,4.71
1540335451729,35.51,31.05,4.46,4.71
