1539763142420,34.67,37.99,-3.32,-1.82
1539763142616,34.75,37.93,-3.18,-1.89
1539763142822,34.85,37.93,-3.08,-1.96
1539763143022,34.99,37.85,-2.86,-2.03
1539763143219,34.99,37.83,-2.84,-2.09
1539763143419,34.99,37.79,-2.80,-2.15
1539763143616,34.97,37.71,-2.74,-2.20
1539763143820,34.93,37.69,-2.76,-2.25
1539763144017,34.89,37.69,-2.80,-2.30
1539763144218,34.89,37.67,-2.78,-2.34
1539763144423,34.83,37.59,-2.76,-2.38
1539763144615,34.85,37.59,-2.74,-2.41
1539763144820,34.85,37.59,-2.74,-2.44
1539763145017,34.89,37.55,-2.66,-2.47
1539763145218,34.93,37.55,-2.62,-2.50
1539763145423,34.97,37.53,-2.56,-2.52
1539763145619,34.93,37.45,-2.52,-2.54
1539763145820,34.91,37.37,-2.46,-2.56
1539763146016,34.93,37.29,-2.36,-2.58
1539763146221,34.97,37.33,-2.36,-2.59
1539763146417,34.93,37.27,-2.34,-2.60
1539763146619,34.91,37.25,-2.34,-2.61
1539763146819,34.89,37.27,-2.38,-2.61
1539763147016,34.91,37.19,-2.28,-2.62
1539763147220,34.81,37.21,-2.40,-2.62
1539763147417,34.77,37.17,-2.40,-2.62
1539763147618,34.77,37.11,-2.34,-2.62
1539763147814,34.81,37.03,-2.22,-2.62
1539763148019,34.75,37.03,-2.28,-2.61
1539763148220,34.81,37.01,-2.20,-2.61
1539763148416,34.85,36.95,-2.10,-2.61
1539763148617,34.93,36.95,-2.02,-2.60
1539763148814,34.91,36.93,-2.02,-2.59
1539763149019,34.93,36.89,-1.96,-2.58
1539763149215,34.93,36.87,-1.94,-2.57
1539763149416,34.89,36.85,-1.96,-2.56
1539763149621,34.89,36.77,-1.88,-2.54
1539763149817,34.91,36.71,-1.80,-2.53
1539763150018,34.93,36.63,-1.70,-2.52
1539763150215,34.93,36.47,-1.54,-2.50
1539763150419,34.99,36.39,-1.40,-2.48
1539763150616,34.83,36.33,-1.50,-2.46
1539763150817,34.81,36.29,-1.48,-2.44
1539763151013,34.81,36.17,-1.36,-2.42
1539763151214,34.81,36.15,-1.34,-2.39
1539763151418,34.77,36.15,-1.38,-2.37
1539763151615,34.75,36.25,-1.50,-2.34
1539763151816,34.77,36.21,-1.44,-2.31
1539763152012,34.89,36.25,-1.36,-2.29
1539763152217,34.85,36.15,-1.30,-2.26
1539763152414,34.83,36.21,-1.38,-2.23
1539763152615,34.71,36.25,-1.54,-2.20
1539763152819,34.77,36.25,-1.48,-2.18
1539763153016,34.75,36.29,-1.54,-2.15
1539763153216,34.77,36.17,-1.40,-2.12
1539763153413,34.77,36.25,-1.48,-2.10
