1540107988057,37.05,37.85,-0.80,-0.78
1540107988253,37.03,37.91,-0.88,-0.79
1540107988454,37.05,37.85,-0.80,-0.79
1540107988651,37.05,37.91,-0.86,-0.79
1540107988855,37.05,37.87,-0.82,-0.79
1540107989052,37.05,37.87,-0.82,-0.79
1540107989253,36.97,37.87,-0.90,-0.79
1540107989449,37.03,37.93,-0.90,-0.80
1540107989650,37.03,37.91,-0.88,-0.80
1540107989847,37.05,37.91,-0.86,-0.80
1540107990052,37.05,37.95,-0.90,-0.80
1540107990252,37.03,37.87,-0.84,-0.80
1540107990448,37.03,37.87,-0.84,-0.80
1540107990654,37.05,37.87,-0.82,-0.80
1540107990851,37.05,37.91,-0.86,-0.81
1540107991051,37.05,37.95,-0.90,-0.81
1540107991248,37.09,37.91,-0.82,-0.81
1540107991452,37.05,37.85,-0.80,-0.81
1540107991649,37.11,37.91,-0.80,-0.81
1540107991850,37.05,37.95,-0.90,-0.82
1540107992050,37.09,37.93,-0.84,-0.82
1540107992251,37.05,37.87,-0.82,-0.82
1540107992451,37.05,37.91,-0.86,-0.82
1540107992649,37.09,37.93,-0.84,-0.82
1540107992849,37.03,37.91,-0.88,-0.82
1540107993045,37.05,37.93,-0.88,-0.82
1540107993250,37.05,37.93,-0.88,-0.82
1540107993446,37.09,37.93,-0.84,-0.82
1540107993647,37.09,37.91,-0.82,-0.83
1540107993853,37.09,37.91,-0.82,-0.83
1540107994049,37.01,37.93,-0.92,-0.83
1540107994250,37.03,37.91,-0.88,-0.83
1540107994447,37.09,37.95,-0.86,-0.83
1540107994651,37.05,37.91,-0.86,-0.83
1540107994848,37.09,37.91,-0.82,-0.83
1540107995048,37.05,37.95,-0.90,-0.83
1540107995245,37.09,37.93,-0.84,-0.84
1540107995446,37.05,37.95,-0.90,-0.84
1540107995646,37.09,37.91,-0.82,-0.84
1540107995848,37.09,37.91,-0.82,-0.84
1540107996048,37.05,37.93,-0.88,-0.84
1540107996245,37.09,37.91,-0.82,-0.84
1540107996450,37.09,37.99,-0.90,-0.84
1540107996646,37.05,37.93,-0.88,-0.84
1540107996846,37.03,37.95,-0.92,-0.84
1540107997043,37.05,37.91,-0.86,-0.85
1540107997248,37.11,37.91,-0.80,-0.85
1540107997445,37.03,37.87,-0.84,-0.85
1540107997645,37.05,37.93,-0.88,-0.85
1540107997846,37.03,37.91,-0.88,-0.85
1540107998043,37.05,37.91,-0.86,-0.85
1540107998248,37.09,37.95,-0.86,-0.85
1540107998444,37.05,37.93,-0.88,-0.85
1540107998645,37.05,37.87,-0.82,-0.85
1540107998842,37.03,37.91,-0.88,-0.85
1540107999046,37.09,37.93,-0.84,-0.85
1540107999246,37.05,37.93,-0.88,-0.85
1540107999443,37.09,37.93,-0.84,-0.85
1540107999644,37.09,37.95,-0.86,-0.85
1540107999845,37.05,37.99,-0.94,-0.86
1540108000045,37.05,37.95,-0.90,-0.86
1540108000242,37.03,37.93,-0.90,-0.86
1540108000443,37.09,37.99,-0.90,-0.86
1540108000639,37.01,37.91,-0.90,-0.86
1540108000844,37.09,37.93,-0.84,-0.86
1540108001045,37.03,37.95,-0.92,-0.86
1540108001241,37.09,37.99,-0.90,-0.86
1540108001446,37.05,37.93,-0.88,-0.86
1540108001643,37.05,37.93,-0.88,-0.86
1540108001844,37.11,37.93,-0.82,-0.87
1540108002039,37.03,37.95,-0.92,-0.87
1540108002241,37.11,37.95,-0.84,-0.87
1540108002438,37.11,38.03,-0.92,-0.87
1540108002642,37.03,37.93,-0.90,-0.87
1540108002842,37.05,37.95,-0.90,-0.87
1540108003040,37.11,37.91,-0.80,-0.87
1540108003245,37.09,37.95,-0.86,-0.87
1540108003441,37.05,37.99,-0.94,-0.87
1540108003642,37.05,37.99,-0.94,-0.87
1540108003838,37.09,37.93,-0.84,-0.87
1540108004043,37.05,37.93,-0.88,-0.87
1540108004244,37.05,37.93,-0.88,-0.87
1540108004440,37.05,37.93,-0.88,-0.87
1540108004641,37.05,37.95,-0.90,-0.87
1540108004837,37.11,37.87,-0.76,-0.87
1540108005042,37.03,37.93,-0.90,-0.87
1540108005239,37.05,37.91,-0.86,-0.87
1540108005440,37.09,37.91,-0.82,-0.87
1540108005636,37.09,37.93,-0.84,-0.87
1540108005841,37.05,37.95,-0.90,-0.87
1540108006042,37.01,37.91,-0.90,-0.87
1540108006238,37.05,37.93,-0.88,-0.87
1540108006443,37.01,37.93,-0.92,-0.87
1540108006640,37.05,37.99,-0.94,-0.87
1540108006841,37.03,37.93,-0.90,-0.87
1540108007037,37.11,37.95,-0.84,-0.87
1540108007238,37.03,37.93,-0.90,-0.87
1540108007435,37.11,37.93,-0.82,-0.87
1540108007639,37.05,37.95,-0.90,-0.87
1540108007840,37.09,37.91,-0.82,-0.87
1540108008037,37.11,37.93,-0.82,-0.87
1540108008241,37.05,37.99,-0.94,-0.87
1540108008438,37.09,37.93,-0.84,-0.87
1540108008639,37.03,37.93,-0.90,-0.87
1540108008835,37.09,37.99,-0.90,-0.87
1540108009037,37.05,37.93,-0.88,-0.87
1540108009237,37.09,37.91,-0.82,-0.87
1540108009437,37.05,37.95,-0.90,-0.87
1540108009638,37.05,37.95,-0.90,-0.87
1540108009835,37.05,37.93,-0.88,-0.87
1540108010040,37.03,37.99,-0.96,-0.87
1540108010236,37.05,37.91,-0.86,-0.87
1540108010437,37.05,37.93,-0.88,-0.87
1540108010634,37.05,37.93,-0.88,-0.87
1540108010838,37.05,37.93,-0.88,-0.87
1540108011035,37.01,37.91,-0.90,-0.87
1540108011236,37.05,37.99,-0.94,-0.87
1540108011431,37.03,37.95,-0.92,-0.87
1540108011633,37.05,37.93,-0.88,-0.87
1540108011838,37.05,38.01,-0.96,-0.87
1540108012034,37.03,37.95,-0.92,-0.87
1540108012234,37.01,37.95,-0.94,-0.88
1540108012431,37.01,37.99,-0.98,-0.88
1540108012636,37.11,37.95,-0.84,-0.88
1540108012833,36.97,38.01,-1.04,-0.88
1540108013033,37.05,37.95,-0.90,-0.88
1540108013238,37.05,37.93,-0.88,-0.88
1540108013435,37.09,37.95,-0.86,-0.88
1540108013636,37.01,37.99,-0.98,-0.88
1540108013832,37.11,37.99,-0.88,-0.88
1540108014033,37.03,37.95,-0.92,-0.89
1540108014234,37.03,38.03,-1.00,-0.89
1540108014435,37.09,38.01,-0.92,-0.89
1540108014631,37.01,37.99,-0.98,-0.89
1540108014831,37.05,37.99,-0.94,-0.89
1540108015027,37.03,37.95,-0.92,-0.89
1540108015233,37.05,37.99,-0.94,-0.90
1540108015434,37.05,37.93,-0.88,-0.90
1540108015630,37.05,37.95,-0.90,-0.90
1540108015835,37.05,37.95,-0.90,-0.90
1540108016032,37.01,37.99,-0.98,-0.90
1540108016233,37.03,37.99,-0.96,-0.90
1540108016429,37.03,38.01,-0.98,-0.90
1540108016634,37.05,38.03,-0.98,-0.90
1540108016831,37.01,37.95,-0.94,-0.91
1540108017031,37.05,38.01,-0.96,-0.91
1540108017231,37.01,38.03,-1.02,-0.91
1540108017428,37.03,37.99,-0.96,-0.91
1540108017633,37.03,38.01,-0.98,-0.91
1540108017830,37.05,38.01,-0.96,-0.91
1540108018031,37.11,38.01,-0.90,-0.91
1540108018227,37.03,37.99,-0.96,-0.91
1540108018431,37.03,37.99,-0.96,-0.92
1540108018628,37.03,38.03,-1.00,-0.92
1540108018829,37.03,38.01,-0.98,-0.92
1540108019030,37.05,38.05,-1.00,-0.92
1540108019230,37.05,38.03,-0.98,-0.92
1540108019431,37.09,38.01,-0.92,-0.92
1540108019628,37.05,38.01,-0.96,-0.92
1540108019828,37.03,38.01,-0.98,-0.92
1540108020025,37.05,38.01,-0.96,-0.93
1540108020229,37.01,38.01,-1.00,-0.93
1540108020427,37.05,37.99,-0.94,-0.93
1540108020628,37.05,38.03,-0.98,-0.93
1540108020832,37.03,38.01,-0.98,-0.93
1540108021029,37.09,38.01,-0.92,-0.93
1540108021229,37.03,38.01,-0.98,-0.93
1540108021426,37.05,37.99,-0.94,-0.93
1540108021627,37.09,38.01,-0.92,-0.93
1540108021823,37.11,37.99,-0.88,-0.94
1540108022028,37.05,37.99,-0.94,-0.94
1540108022228,37.05,38.03,-0.98,-0.94
1540108022425,37.09,38.03,-0.94,-0.94
1540108022630,37.09,38.01,-0.92,-0.94
1540108022827,37.05,38.01,-0.96,-0.94
1540108023027,37.09,38.05,-0.96,-0.94
1540108023224,37.09,38.01,-0.92,-0.94
1540108023429,37.09,38.01,-0.92,-0.94
1540108023621,37.13,38.01,-0.88,-0.94
1540108023826,37.05,37.99,-0.94,-0.94
1540108024027,37.03,38.03,-1.00,-0.94
1540108024223,37.09,38.03,-0.94,-0.94
1540108024428,37.11,38.03,-0.92,-0.94
1540108024625,37.03,37.95,-0.92,-0.94
1540108024825,37.09,38.01,-0.92,-0.94
1540108025022,37.05,38.01,-0.96,-0.94
1540108025227,37.01,38.01,-1.00,-0.94
1540108025423,37.09,38.05,-0.96,-0.94
1540108025624,37.09,38.09,-1.00,-0.94
1540108025827,37.03,38.01,-0.98,-0.94
1540108026021,37.11,38.01,-0.90,-0.94
1540108026226,37.03,38.03,-1.00,-0.94
1540108026423,37.03,38.01,-0.98,-0.94
1540108026624,37.05,37.99,-0.94,-0.94
1540108026820,37.09,38.05,-0.96,-0.95
1540108027025,37.03,38.03,-1.00,-0.95
1540108027225,37.03,38.03,-1.00,-0.95
1540108027422,37.09,38.01,-0.92,-0.95
1540108027623,37.11,37.99,-0.88,-0.95
1540108027820,37.03,38.01,-0.98,-0.95
1540108028024,37.09,38.01,-0.92,-0.95
1540108028221,37.09,38.01,-0.92,-0.95
1540108028422,37.09,38.01,-0.92,-0.95
1540108028618,37.11,38.01,-0.90,-0.95
1540108028822,37.09,38.03,-0.94,-0.95
1540108029024,37.09,37.99,-0.90,-0.95
1540108029220,37.09,37.93,-0.84,-0.95
1540108029425,37.05,37.95,-0.90,-0.95
1540108029622,37.11,37.99,-0.88,-0.95
1540108029823,37.05,38.03,-0.98,-0.95
1540108030019,37.03,38.01,-0.98,-0.95
1540108030220,37.03,37.99,-0.96,-0.95
1540108030417,37.05,38.01,-0.96,-0.95
1540108030621,37.05,37.99,-0.94,-0.95
1540108030821,37.01,38.01,-1.00,-0.95
1540108031019,37.05,38.01,-0.96,-0.95
1540108031223,37.03,38.03,-1.00,-0.95
1540108031420,37.05,37.99,-0.94,-0.95
1540108031620,37.09,38.03,-0.94,-0.95
1540108031817,37.09,38.03,-0.94,-0.95
1540108032018,37.09,37.99,-0.90,-0.95
1540108032222,37.01,38.01,-1.00,-0.95
1540108032419,37.09,38.01,-0.92,-0.95
1540108032620,37.09,38.01,-0.92,-0.95
1540108032817,37.05,38.01,-0.96,-0.95
1540108033021,37.03,37.99,-0.96,-0.95
1540108033217,37.05,37.99,-0.94,-0.95
1540108033419,37.09,37.99,-0.90,-0.95
1540108033615,37.03,37.99,-0.96,-0.95
1540108033820,37.03,37.99,-0.96,-0.95
1540108034021,37.03,37.99,-0.96,-0.95
1540108034217,37.09,38.01,-0.92,-0.95
1540108034417,37.03,38.01,-0.98,-0.95
1540108034621,37.05,38.03,-0.98,-0.95
1540108034819,37.09,38.01,-0.92,-0.95
1540108035016,37.05,38.03,-0.98,-0.95
1540108035217,37.05,37.99,-0.94,-0.95
1540108035413,37.09,37.99,-0.90,-0.95
1540108035618,37.11,37.95,-0.84,-0.95
1540108035819,37.09,38.01,-0.92,-0.95
1540108036015,37.03,37.95,-0.92,-0.95
1540108036216,37.05,38.03,-0.98,-0.95
1540108036417,37.03,38.01,-0.98,-0.95
1540108036617,37.05,37.99,-0.94,-0.95
1540108036814,37.03,38.03,-1.00,-0.95
1540108037015,37.09,38.01,-0.92,-0.95
1540108037220,37.05,38.03,-0.98,-0.95
1540108037416,37.03,38.03,-1.00,-0.95
1540108037617,37.05,38.05,-1.00,-0.95
1540108037813,37.05,38.01,-0.96,-0.95
1540108038013,37.03,37.99,-0.96,-0.95
1540108038215,37.01,38.01,-1.00,-0.95
1540108038415,37.05,37.99,-0.94,-0.95
1540108038616,37.03,38.03,-1.00,-0.95
1540108038812,37.05,38.01,-0.96,-0.95
1540108039017,37.09,37.99,-0.90,-0.95
1540108039214,37.05,38.01,-0.96,-0.95
1540108039414,37.11,38.01,-0.90,-0.95
1540108039611,37.05,38.03,-0.98,-0.95
1540108039816,37.09,37.99,-0.90,-0.95
1540108040013,37.05,37.99,-0.94,-0.95
1540108040214,37.09,37.99,-0.90,-0.95
1540108040414,37.09,38.01,-0.92,-0.95
1540108040611,37.09,38.01,-0.92,-0.95
1540108040816,37.03,38.01,-0.98,-0.95
1540108041012,37.05,37.99,-0.94,-0.95
1540108041213,37.05,38.03,-0.98,-0.95
1540108041409,37.03,37.99,-0.96,-0.95
1540108041614,37.11,38.01,-0.90,-0.95
1540108041811,37.03,37.99,-0.96,-0.95
1540108042012,37.09,38.01,-0.92,-0.95
1540108042212,37.05,38.03,-0.98,-0.95
1540108042413,37.05,38.03,-0.98,-0.95
1540108042614,37.09,38.01,-0.92,-0.94
1540108042810,37.03,37.99,-0.96,-0.94
1540108043010,37.05,38.01,-0.96,-0.94
1540108043207,37.09,38.03,-0.94,-0.94
1540108043412,37.05,38.03,-0.98,-0.94
1540108043609,37.09,37.99,-0.90,-0.94
1540108043810,37.11,38.01,-0.90,-0.94
1540108044015,37.03,38.01,-0.98,-0.94
1540108044211,37.05,38.03,-0.98,-0.94
1540108044412,37.09,37.99,-0.90,-0.94
1540108044609,37.11,38.05,-0.94,-0.94
1540108044809,37.09,38.01,-0.92,-0.94
1540108045010,37.01,38.01,-1.00,-0.94
1540108045211,37.11,38.03,-0.92,-0.94
1540108045407,37.05,38.01,-0.96,-0.94
1540108045608,37.09,38.03,-0.94,-0.94
1540108045813,37.05,38.03,-0.98,-0.94
1540108046010,37.09,38.03,-0.94,-0.94
1540108046210,37.05,38.03,-0.98,-0.94
1540108046407,37.11,37.99,-0.88,-0.94
1540108046611,37.09,38.01,-0.92,-0.94
1540108046808,37.09,38.01,-0.92,-0.94
1540108047009,37.01,37.95,-0.94,-0.94
1540108047205,37.03,37.99,-0.96,-0.94
1540108047409,37.05,37.93,-0.88,-0.94
1540108047611,37.05,38.03,-0.98,-0.94
1540108047807,37.11,38.01,-0.90,-0.94
1540108048008,37.01,38.03,-1.02,-0.94
1540108048205,37.11,37.99,-0.88,-0.94
1540108048409,37.09,37.93,-0.84,-0.94
1540108048606,37.05,37.95,-0.90,-0.94
1540108048807,37.01,38.03,-1.02,-0.94
1540108049003,37.05,38.03,-0.98,-0.94
1540108049208,37.05,38.03,-0.98,-0.94
1540108049405,37.11,38.03,-0.92,-0.94
1540108049605,37.05,37.99,-0.94,-0.93
1540108049810,37.05,38.03,-0.98,-0.94
1540108050006,37.03,37.95,-0.92,-0.93
1540108050208,37.05,37.99,-0.94,-0.93
1540108050404,37.11,37.99,-0.88,-0.93
1540108050605,37.05,38.01,-0.96,-0.93
1540108050806,37.11,37.99,-0.88,-0.93
1540108051006,37.09,37.95,-0.86,-0.93
1540108051202,37.05,38.03,-0.98,-0.93
1540108051403,37.05,38.01,-0.96,-0.93
1540108051608,37.09,38.03,-0.94,-0.93
1540108051805,37.05,37.99,-0.94,-0.93
1540108052006,37.09,37.95,-0.86,-0.93
1540108052202,37.05,37.99,-0.94,-0.93
1540108052406,37.05,37.99,-0.94,-0.93
1540108052604,37.09,37.95,-0.86,-0.93
1540108052804,37.03,38.03,-1.00,-0.93
1540108053001,37.09,37.99,-0.90,-0.93
1540108053206,37.03,37.99,-0.96,-0.93
1540108053402,37.09,37.95,-0.86,-0.93
1540108053602,37.11,37.93,-0.82,-0.93
1540108053804,37.05,38.03,-0.98,-0.93
1540108054004,37.03,37.95,-0.92,-0.93
1540108054205,37.03,37.99,-0.96,-0.93
1540108054402,37.05,37.95,-0.90,-0.93
1540108054602,37.11,37.93,-0.82,-0.92
1540108054799,37.11,37.93,-0.82,-0.92
1540108055003,37.03,37.99,-0.96,-0.92
1540108055200,37.03,37.95,-0.92,-0.92
1540108055401,37.03,37.99,-0.96,-0.92
1540108055597,37.01,37.99,-0.98,-0.92
1540108055803,37.05,37.99,-0.94,-0.92
1540108056003,37.01,37.95,-0.94,-0.92
1540108056200,37.05,37.95,-0.90,-0.92
1540108056405,37.03,37.93,-0.90,-0.92
1540108056601,37.05,37.91,-0.86,-0.92
1540108056802,37.05,37.91,-0.86,-0.92
1540108056997,37.01,37.95,-0.94,-0.92
1540108057203,37.05,37.95,-0.90,-0.92
1540108057400,37.05,37.87,-0.82,-0.92
1540108057600,37.01,37.95,-0.94,-0.92
1540108057797,37.05,37.95,-0.90,-0.92
1540108058002,37.09,37.93,-0.84,-0.92
1540108058202,37.11,37.93,-0.82,-0.92
1540108058399,37.03,37.93,-0.90,-0.92
1540108058600,37.03,37.93,-0.90,-0.91
1540108058796,37.01,37.85,-0.84,-0.91
1540108059001,37.03,37.93,-0.90,-0.91
1540108059198,37.09,37.91,-0.82,-0.91
1540108059398,37.03,37.87,-0.84,-0.91
1540108059595,37.05,37.85,-0.80,-0.91
1540108059800,37.03,37.91,-0.88,-0.91
1540108059997,37.03,37.87,-0.84,-0.91
1540108060197,37.03,37.87,-0.84,-0.90
1540108060394,37.05,37.85,-0.80,-0.90
1540108060598,37.09,37.87,-0.78,-0.90
1540108060799,37.09,37.85,-0.76,-0.90
1540108060996,37.11,37.87,-0.76,-0.89
1540108061200,37.11,37.85,-0.74,-0.89
1540108061398,37.01,37.87,-0.86,-0.89
1540108061598,37.05,37.85,-0.80,-0.88
1540108061794,37.09,37.91,-0.82,-0.88
1540108062000,37.03,37.93,-0.90,-0.88
1540108062196,37.05,37.87,-0.82,-0.88
1540108062397,37.05,37.91,-0.86,-0.87
1540108062593,37.11,37.91,-0.80,-0.87
1540108062798,37.09,37.91,-0.82,-0.87
1540108062999,37.03,37.85,-0.82,-0.87
1540108063196,37.01,37.87,-0.86,-0.86
1540108063399,37.09,37.87,-0.78,-0.86
1540108063593,37.09,37.87,-0.78,-0.86
1540108063798,37.01,37.85,-0.84,-0.86
1540108063993,37.09,37.83,-0.74,-0.86
1540108064194,37.03,37.83,-0.80,-0.85
1540108064391,37.09,37.87,-0.78,-0.85
1540108064596,37.05,37.83,-0.78,-0.85
1540108064792,37.05,37.85,-0.80,-0.85
1540108064994,37.03,37.85,-0.82,-0.84
1540108065198,37.05,37.91,-0.86,-0.84
1540108065395,37.09,37.79,-0.70,-0.84
1540108065596,37.09,37.83,-0.74,-0.84
1540108065792,37.05,37.79,-0.74,-0.84
1540108065997,37.03,37.85,-0.82,-0.83
1540108066194,37.05,37.79,-0.74,-0.83
1540108066394,37.09,37.83,-0.74,-0.83
1540108066591,37.05,37.77,-0.72,-0.83
1540108066796,37.09,37.83,-0.74,-0.83
1540108066992,37.05,37.83,-0.78,-0.82
1540108067193,37.05,37.71,-0.66,-0.82
1540108067390,37.05,37.85,-0.80,-0.82
1540108067594,37.03,37.77,-0.74,-0.82
1540108067794,37.11,37.79,-0.68,-0.82
1540108067991,37.05,37.79,-0.74,-0.81
1540108068192,37.05,37.79,-0.74,-0.81
1540108068393,37.05,37.77,-0.72,-0.81
1540108068594,37.05,37.79,-0.74,-0.81
1540108068790,37.05,37.83,-0.78,-0.81
1540108068991,37.03,37.83,-0.80,-0.80
1540108069188,37.05,37.77,-0.72,-0.80
1540108069393,37.05,37.77,-0.72,-0.80
1540108069593,37.05,37.79,-0.74,-0.80
1540108069790,37.05,37.79,-0.74,-0.80
1540108069995,37.03,37.77,-0.74,-0.79
1540108070191,37.09,37.77,-0.68,-0.79
1540108070392,37.05,37.77,-0.72,-0.79
1540108070589,37.05,37.77,-0.72,-0.79
1540108070793,37.05,37.79,-0.74,-0.79
1540108070989,37.03,37.83,-0.80,-0.78
