1540344539767,38.03,33.05,4.98,5.13
1540344539964,38.03,33.11,4.92,5.12
1540344540169,38.05,33.05,5.00,5.12
1540344540366,38.01,33.03,4.98,5.12
1540344540567,38.05,32.99,5.06,5.11
1540344540763,38.05,33.03,5.02,5.11
1540344540968,38.03,33.05,4.98,5.10
1540344541168,38.09,33.07,5.02,5.10
1540344541365,38.09,33.05,5.04,5.09
1540344541566,38.05,32.99,5.06,5.09
1540344541767,38.01,32.95,5.06,5.09
1540344541968,38.09,32.99,5.10,5.08
1540344542164,38.03,32.97,5.06,5.08
1540344542365,38.03,32.99,5.04,5.08
1540344542561,38.03,32.97,5.06,5.07
1540344542766,38.03,32.99,5.04,5.08
1540344542967,38.09,32.97,5.12,5.07
1540344543163,38.03,32.97,5.06,5.07
1540344543368,38.03,32.97,5.06,5.07
1540344543564,38.03,32.95,5.08,5.06
1540344543765,38.03,32.83,5.20,5.07
1540344543962,38.05,32.81,5.24,5.06
1540344544162,38.03,32.81,5.22,5.06
1540344544359,38.05,32.75,5.30,5.07
1540344544564,38.01,32.75,5.26,5.06
1540344544764,38.05,32.69,5.36,5.07
1540344544962,38.05,32.61,5.44,5.07
1540344545166,38.03,32.61,5.42,5.08
1540344545363,38.03,32.69,5.34,5.08
1540344545564,38.05,32.61,5.44,5.09
1540344545760,38.03,32.59,5.44,5.10
1540344545960,38.03,32.67,5.36,5.10
1540344546166,38.03,32.67,5.36,5.11
1540344546362,38.09,32.71,5.38,5.12
1540344546563,38.03,32.71,5.32,5.12
1540344546760,38.03,32.75,5.28,5.14
1540344546964,38.03,32.77,5.26,5.14
1540344547160,38.03,32.81,5.22,5.15
1540344547362,38.03,32.83,5.20,5.16
1540344547558,38.05,32.81,5.24,5.16
1540344547758,38.09,32.75,5.34,5.17
1540344547964,38.09,32.77,5.32,5.17
1540344548160,38.05,32.77,5.28,5.18
1540344548361,38.03,32.71,5.32,5.18
1540344548557,38.03,32.81,5.22,5.18
1540344548762,38.09,32.89,5.20,5.19
1540344548959,38.09,32.91,5.18,5.19
1540344549159,38.05,32.81,5.24,5.20
1540344549356,38.09,32.95,5.14,5.20
1540344549561,38.03,32.83,5.20,5.20
1540344549762,38.05,32.83,5.22,5.21
1540344549958,38.09,32.81,5.28,5.21
1540344550158,38.03,32.81,5.22,5.21
1540344550355,38.05,32.85,5.20,5.22
1540344550560,38.05,32.83,5.22,5.21
1540344550757,38.09,32.85,5.24,5.22
1540344550958,38.05,32.83,5.22,5.22
1540344551162,38.05,32.83,5.22,5.22
1540344551358,38.11,32.75,5.36,5.22
1540344551560,38.03,32.71,5.32,5.22
1540344551756,38.09,32.71,5.38,5.23
1540344551957,38.05,32.81,5.24,5.23
1540344552157,38.05,32.85,5.20,5.23
1540344552358,38.09,32.91,5.18,5.23
1540344552554,38.09,32.91,5.18,5.23
1540344552756,38.11,33.03,5.08,5.24
1540344552960,38.09,33.05,5.04,5.23
1540344553157,38.09,33.07,5.02,5.23
1540344553358,38.13,33.13,5.00,5.23
1540344553555,38.09,32.99,5.10,5.23
1540344553759,38.11,32.95,5.16,5.23
1540344553956,38.09,32.97,5.12,5.22
1540344554156,38.09,33.03,5.06,5.22
1540344554353,38.09,33.05,5.04,5.22
1540344554554,38.11,32.99,5.12,5.21
1540344554758,38.09,32.99,5.10,5.21
1540344554955,38.11,32.99,5.12,5.21
1540344555156,38.11,33.05,5.06,5.20
1540344555352,38.13,33.11,5.02,5.20
1540344555557,38.09,33.05,5.04,5.19
1540344555754,38.09,33.05,5.04,5.20
1540344555954,38.09,33.07,5.02,5.19
1540344556151,38.09,33.17,4.92,5.18
1540344556356,38.13,33.19,4.94,5.18
1540344556557,38.09,33.19,4.90,5.17
1540344556753,38.09,33.21,4.88,5.17
1540344556954,38.09,33.19,4.90,5.16
1540344557150,38.09,33.17,4.92,5.15
1540344557356,38.11,32.97,5.14,5.15
1540344557552,38.09,32.89,5.20,5.14
1540344557752,38.09,32.89,5.20,5.14
1540344557957,38.09,32.81,5.28,5.13
1540344558153,38.11,32.85,5.26,5.13
1540344558355,38.09,32.85,5.24,5.13
1540344558551,38.05,33.05,5.00,5.13
1540344558751,38.11,33.13,4.98,5.13
1540344558948,38.05,33.07,4.98,5.12
1540344559154,38.09,33.17,4.92,5.12
1540344559350,38.09,33.19,4.90,5.12
1540344559551,38.11,33.19,4.92,5.12
1540344559755,38.11,33.21,4.90,5.12
1540344559951,38.11,33.17,4.94,5.11
1540344560153,38.09,33.07,5.02,5.11
1540344560349,38.11,33.05,5.06,5.10
1540344560554,38.11,32.99,5.12,5.10
1540344560750,38.13,33.17,4.96,5.10
1540344560951,38.13,33.11,5.02,5.09
1540344561148,38.13,33.07,5.06,5.09
1540344561349,38.13,32.97,5.16,5.09
1540344561553,38.09,33.03,5.06,5.08
1540344561750,38.13,33.11,5.02,5.08
1540344561951,38.13,33.17,4.96,5.08
1540344562147,38.09,33.19,4.90,5.08
1540344562352,38.17,33.21,4.96,5.08
1540344562548,38.13,33.19,4.94,5.07
1540344562750,38.11,33.25,4.86,5.07
1540344562946,38.13,33.25,4.88,5.06
1540344563151,38.11,33.29,4.82,5.06
1540344563351,38.09,33.29,4.80,5.06
1540344563548,38.11,33.35,4.76,5.05
1540344563748,38.09,33.33,4.76,5.05
1540344563945,38.11,33.27,4.84,5.04
1540344564150,38.11,33.17,4.94,5.04
1540344564347,38.09,33.13,4.96,5.03
1540344564547,38.09,33.05,5.04,5.02
1540344564752,38.13,33.17,4.96,5.02
1540344564949,38.13,33.17,4.96,5.02
1540344565150,38.09,33.11,4.98,5.01
1540344565346,38.09,33.25,4.84,5.01
1540344565546,38.09,33.19,4.90,5.00
1540344565743,38.13,33.21,4.92,5.00
1540344565949,38.11,33.19,4.92,5.00
1540344566145,38.11,33.07,5.04,4.99
1540344566345,38.09,33.05,5.04,4.99
1540344566546,38.09,33.03,5.06,4.99
1540344566747,38.11,32.97,5.14,4.99
1540344566948,38.09,32.99,5.10,4.98
1540344567144,38.09,32.89,5.20,4.98
1540344567345,38.09,32.85,5.24,4.99
1540344567541,38.05,32.81,5.24,4.98
1540344567746,38.03,32.75,5.28,4.99
1540344567947,38.05,32.67,5.38,4.99
1540344568143,38.11,32.69,5.42,4.99
1540344568348,38.09,32.67,5.42,5.00
1540344568545,38.09,32.67,5.42,5.00
1540344568746,38.11,32.81,5.30,5.01
1540344568943,38.11,32.89,5.22,5.02
1540344569143,38.11,32.97,5.14,5.03
1540344569339,38.03,33.05,4.98,5.04
1540344569545,38.05,33.07,4.98,5.04
1540344569745,38.09,33.07,5.02,5.05
1540344569942,38.05,33.21,4.84,5.05
1540344570147,38.11,33.21,4.90,5.05
1540344570343,38.05,33.33,4.72,5.06
1540344570544,38.09,33.27,4.82,5.05
1540344570740,38.05,33.21,4.84,5.06
1540344570941,38.11,33.13,4.98,5.05
1540344571146,38.11,33.19,4.92,5.05
1540344571343,38.09,33.21,4.88,5.05
1540344571543,38.13,33.19,4.94,5.04
1540344571740,38.11,33.25,4.86,5.04
1540344571945,38.05,32.95,5.10,5.04
1540344572141,38.11,32.85,5.26,5.03
1540344572342,38.11,32.83,5.28,5.04
1540344572538,38.05,32.95,5.10,5.03
1540344572743,38.03,33.03,5.00,5.04
1540344572944,38.09,33.17,4.92,5.03
1540344573140,38.05,33.17,4.88,5.03
1540344573341,38.09,33.07,5.02,5.03
1540344573538,38.11,33.07,5.04,5.03
