1540343871052,38.01,33.83,4.18,4.08
1540343871252,38.03,33.69,4.34,4.08
1540343871449,38.05,33.63,4.42,4.08
1540343871653,38.01,33.47,4.54,4.09
1540343871854,38.05,33.35,4.70,4.09
1540343872051,38.01,33.25,4.76,4.09
1540343872252,38.05,33.19,4.86,4.10
1540343872448,37.99,33.29,4.70,4.11
1540343872653,38.05,33.47,4.58,4.12
1540343872854,38.03,33.63,4.40,4.13
1540343873050,38.03,33.71,4.32,4.15
1540343873255,38.01,33.85,4.16,4.16
1540343873452,38.01,33.93,4.08,4.17
1540343873652,38.03,33.93,4.10,4.18
1540343873849,38.01,33.91,4.10,4.18
1540343874050,38.03,33.93,4.10,4.19
1540343874251,38.01,33.99,4.02,4.19
1540343874451,38.03,34.03,4.00,4.19
1540343874652,38.01,34.09,3.92,4.20
1540343874848,38.01,34.03,3.98,4.20
1540343875052,38.01,34.09,3.92,4.20
1540343875249,37.99,34.03,3.96,4.20
1540343875450,38.03,34.09,3.94,4.19
1540343875647,38.05,34.07,3.98,4.19
1540343875852,38.01,34.03,3.98,4.19
1540343876052,38.01,34.03,3.98,4.19
1540343876249,38.01,34.01,4.00,4.18
1540343876450,38.01,34.03,3.98,4.18
1540343876647,37.99,34.01,3.98,4.17
1540343876851,38.01,34.03,3.98,4.17
1540343877051,38.01,33.99,4.02,4.16
1540343877248,37.99,33.95,4.04,4.16
1540343877453,38.01,33.99,4.02,4.15
1540343877650,37.95,33.99,3.96,4.15
1540343877850,37.99,33.99,4.00,4.14
1540343878047,38.01,33.95,4.06,4.14
1540343878248,37.99,33.99,4.00,4.13
1540343878453,38.01,33.95,4.06,4.13
1540343878649,37.99,33.99,4.00,4.13
1540343878850,37.99,33.95,4.04,4.12
1540343879047,38.01,33.95,4.06,4.12
1540343879251,37.99,33.95,4.04,4.11
1540343879448,37.99,33.95,4.04,4.11
1540343879648,37.95,33.99,3.96,4.11
1540343879850,37.99,34.03,3.96,4.10
1540343880046,37.95,34.03,3.92,4.10
1540343880251,37.99,34.03,3.96,4.09
1540343880447,37.99,34.03,3.96,4.09
1540343880648,37.95,33.99,3.96,4.09
1540343880849,37.95,34.01,3.94,4.08
1540343881045,37.99,34.01,3.98,4.08
1540343881250,37.95,33.99,3.96,4.08
