1540106021081,35.51,38.21,-2.70,-2.68
1540106021282,35.59,38.19,-2.60,-2.68
1540106021478,35.59,38.17,-2.58,-2.68
1540106021684,35.51,38.17,-2.66,-2.67
1540106021880,35.59,38.19,-2.60,-2.67
1540106022081,35.53,38.25,-2.72,-2.67
1540106022281,35.59,38.17,-2.58,-2.67
1540106022477,35.53,38.19,-2.66,-2.67
1540106022679,35.47,38.17,-2.70,-2.67
1540106022883,35.55,38.17,-2.62,-2.67
1540106023080,35.55,38.19,-2.64,-2.67
1540106023281,35.51,38.19,-2.68,-2.67
1540106023478,35.59,38.19,-2.60,-2.67
1540106023678,35.53,38.19,-2.66,-2.67
1540106023879,35.53,38.19,-2.66,-2.67
1540106024075,35.59,38.13,-2.54,-2.66
1540106024280,35.59,38.13,-2.54,-2.66
1540106024481,35.53,38.17,-2.64,-2.66
1540106024678,35.51,38.17,-2.66,-2.66
1540106024878,35.51,38.19,-2.68,-2.66
1540106025075,35.59,38.19,-2.60,-2.66
1540106025280,35.53,38.09,-2.56,-2.66
1540106025480,35.53,38.19,-2.66,-2.66
1540106025677,35.59,38.17,-2.58,-2.66
1540106025877,35.59,38.17,-2.58,-2.66
1540106026078,35.53,38.17,-2.64,-2.66
1540106026275,35.55,38.19,-2.64,-2.66
1540106026480,35.47,38.13,-2.66,-2.66
1540106026676,35.55,38.17,-2.62,-2.65
1540106026877,35.59,38.17,-2.58,-2.66
1540106027077,35.55,38.17,-2.62,-2.65
1540106027274,35.55,38.17,-2.62,-2.65
1540106027479,35.53,38.11,-2.58,-2.65
1540106027680,35.55,38.11,-2.56,-2.65
1540106027876,35.51,38.19,-2.68,-2.65
1540106028077,35.55,38.17,-2.62,-2.65
1540106028273,35.51,38.17,-2.66,-2.65
1540106028478,35.55,38.19,-2.64,-2.65
1540106028679,35.53,38.11,-2.58,-2.65
1540106028876,35.51,38.17,-2.66,-2.65
1540106029077,35.51,38.19,-2.68,-2.65
1540106029277,35.55,38.13,-2.58,-2.65
1540106029474,35.53,38.13,-2.60,-2.65
1540106029678,35.53,38.19,-2.66,-2.64
1540106029875,35.59,38.13,-2.54,-2.65
1540106030076,35.55,38.11,-2.56,-2.64
1540106030277,35.59,38.13,-2.54,-2.64
1540106030473,35.53,38.09,-2.56,-2.64
1540106030678,35.55,38.19,-2.64,-2.64
1540106030874,35.59,38.05,-2.46,-2.64
1540106031075,35.55,38.11,-2.56,-2.64
1540106031276,35.53,38.09,-2.56,-2.64
1540106031473,35.53,38.11,-2.58,-2.64
1540106031677,35.55,38.13,-2.58,-2.63
1540106031878,35.53,38.13,-2.60,-2.63
1540106032074,35.55,38.09,-2.54,-2.63
1540106032275,35.59,38.11,-2.52,-2.63
1540106032472,35.51,38.09,-2.58,-2.63
1540106032673,35.51,38.11,-2.60,-2.62
1540106032877,35.51,38.05,-2.54,-2.62
1540106033074,35.55,38.05,-2.50,-2.62
1540106033275,35.51,38.09,-2.58,-2.62
1540106033471,35.53,38.11,-2.58,-2.61
1540106033672,35.59,38.09,-2.50,-2.61
1540106033876,35.55,38.09,-2.54,-2.61
1540106034073,35.55,38.09,-2.54,-2.61
1540106034274,35.55,38.05,-2.50,-2.60
1540106034475,35.53,38.03,-2.50,-2.60
1540106034672,35.51,38.09,-2.58,-2.60
1540106034876,35.51,38.09,-2.58,-2.60
1540106035073,35.55,38.05,-2.50,-2.59
1540106035274,35.55,38.05,-2.50,-2.59
1540106035474,35.59,38.05,-2.46,-2.59
1540106035671,35.55,38.03,-2.48,-2.59
1540106035872,35.53,38.03,-2.50,-2.59
1540106036077,35.51,38.09,-2.58,-2.58
1540106036273,35.53,38.03,-2.50,-2.58
1540106036473,35.59,38.05,-2.46,-2.58
1540106036670,35.53,38.01,-2.48,-2.57
1540106036871,35.59,38.05,-2.46,-2.57
1540106037076,35.61,38.05,-2.44,-2.57
1540106037272,35.55,38.09,-2.54,-2.56
1540106037473,35.53,38.09,-2.56,-2.56
1540106037669,35.59,38.05,-2.46,-2.56
1540106037870,35.53,38.03,-2.50,-2.56
1540106038075,35.59,38.03,-2.44,-2.55
1540106038268,35.55,38.01,-2.46,-2.55
