1540166717949,34.47,34.13,0.34,0.38
1540166718145,34.47,34.07,0.40,0.38
1540166718346,34.51,34.07,0.44,0.38
1540166718543,34.53,34.07,0.46,0.38
1540166718743,34.53,34.01,0.52,0.38
1540166718948,34.55,33.99,0.56,0.39
1540166719145,34.51,34.03,0.48,0.39
1540166719345,34.47,34.01,0.46,0.39
1540166719542,34.47,33.99,0.48,0.39
1540166719747,34.53,34.09,0.44,0.39
1540166719943,34.47,34.07,0.40,0.39
1540166720144,34.51,34.03,0.48,0.40
1540166720344,34.51,34.07,0.44,0.40
1540166720542,34.47,34.13,0.34,0.40
1540166720746,34.43,34.09,0.34,0.40
1540166720943,34.45,34.09,0.36,0.40
1540166721144,34.47,34.13,0.34,0.40
1540166721340,34.45,34.09,0.36,0.40
1540166721545,34.51,34.09,0.42,0.40
1540166721747,34.45,34.07,0.38,0.40
1540166721942,34.53,34.07,0.46,0.40
1540166722143,34.51,34.03,0.48,0.40
1540166722339,34.55,34.01,0.54,0.40
1540166722545,34.61,33.95,0.66,0.41
1540166722745,34.53,34.01,0.52,0.41
1540166722942,34.47,34.03,0.44,0.41
1540166723146,34.51,34.01,0.50,0.41
1540166723343,34.51,34.03,0.48,0.41
1540166723544,34.45,33.99,0.46,0.41
1540166723740,34.51,33.99,0.52,0.42
1540166723941,34.47,33.99,0.48,0.42
1540166724146,34.39,34.01,0.38,0.42
1540166724342,34.51,34.07,0.44,0.42
1540166724543,34.45,34.07,0.38,0.42
1540166724740,34.47,34.13,0.34,0.43
1540166724944,34.47,34.09,0.38,0.43
1540166725141,34.47,34.09,0.38,0.43
1540166725342,34.47,34.09,0.38,0.43
1540166725542,34.53,34.03,0.50,0.43
1540166725739,34.55,33.93,0.62,0.43
1540166725943,34.61,33.99,0.62,0.43
1540166726140,34.53,33.99,0.54,0.43
1540166726341,34.51,33.99,0.52,0.43
1540166726538,34.47,33.99,0.48,0.43
1540166726743,34.51,33.95,0.56,0.44
1540166726942,34.51,34.01,0.50,0.44
1540166727139,34.51,33.99,0.52,0.44
1540166727340,34.51,33.99,0.52,0.44
1540166727541,34.51,33.99,0.52,0.44
1540166727742,34.45,33.91,0.54,0.45
1540166727938,34.47,34.01,0.46,0.45
1540166728139,34.47,33.99,0.48,0.45
1540166728344,34.53,33.99,0.54,0.46
1540166728540,34.53,34.01,0.52,0.46
1540166728741,34.53,34.03,0.50,0.46
1540166728938,34.55,33.99,0.56,0.46
1540166729143,34.53,33.85,0.68,0.46
1540166729339,34.53,33.93,0.60,0.47
1540166729540,34.53,33.85,0.68,0.47
1540166729741,34.53,33.93,0.60,0.47
1540166729937,34.53,33.99,0.54,0.48
1540166730142,34.51,33.99,0.52,0.48
1540166730338,34.51,33.95,0.56,0.48
1540166730539,34.51,34.03,0.48,0.49
1540166730736,34.45,33.93,0.52,0.49
1540166730941,34.51,33.99,0.52,0.49
1540166731137,34.47,33.99,0.48,0.49
1540166731337,34.51,33.99,0.52,0.49
1540166731542,34.51,33.93,0.58,0.50
1540166731739,34.47,34.01,0.46,0.50
1540166731940,34.51,33.99,0.52,0.50
1540166732137,34.55,34.01,0.54,0.50
1540166732337,34.53,34.01,0.52,0.50
1540166732537,34.51,33.99,0.52,0.50
1540166732739,34.53,33.93,0.60,0.50
1540166732947,34.53,33.91,0.62,0.51
1540166733135,34.51,33.91,0.60,0.51
1540166733341,34.55,33.91,0.64,0.51
1540166733537,34.53,33.87,0.66,0.51
1540166733738,34.51,33.99,0.52,0.51
1540166733935,34.53,33.91,0.62,0.52
1540166734140,34.47,33.99,0.48,0.52
1540166734341,34.51,33.95,0.56,0.52
1540166734537,34.51,33.87,0.64,0.52
1540166734737,34.53,33.93,0.60,0.52
1540166734934,34.51,33.99,0.52,0.52
1540166735139,34.51,33.99,0.52,0.53
1540166735335,34.51,34.01,0.50,0.53
1540166735536,34.47,34.01,0.46,0.53
1540166735741,34.51,33.99,0.52,0.53
1540166735938,34.51,33.91,0.60,0.53
1540166736138,34.51,33.91,0.60,0.53
1540166736335,34.53,33.93,0.60,0.53
1540166736539,34.51,33.93,0.58,0.53
1540166736736,34.53,33.87,0.66,0.53
1540166736937,34.51,33.87,0.64,0.54
1540166737133,34.47,33.83,0.64,0.54
1540166737334,34.51,33.99,0.52,0.54
1540166737539,34.47,33.91,0.56,0.54
1540166737735,34.47,33.91,0.56,0.54
1540166737936,34.51,33.93,0.58,0.55
1540166738133,34.45,33.91,0.54,0.55
1540166738338,34.51,33.95,0.56,0.55
1540166738534,34.51,33.99,0.52,0.55
1540166738735,34.51,33.95,0.56,0.55
1540166738936,34.51,33.99,0.52,0.55
1540166739132,34.51,33.87,0.64,0.55
1540166739337,34.51,33.85,0.66,0.55
1540166739534,34.47,33.83,0.64,0.55
1540166739735,34.51,33.83,0.68,0.56
1540166739939,34.51,33.83,0.68,0.56
1540166740136,34.47,33.83,0.64,0.56
1540166740337,34.51,33.83,0.68,0.56
1540166740533,34.45,33.87,0.58,0.56
1540166740734,34.51,33.87,0.64,0.57
1540166740930,34.45,33.87,0.58,0.57
1540166741134,34.51,33.85,0.66,0.57
1540166741336,34.45,33.91,0.54,0.57
1540166741533,34.45,33.91,0.54,0.58
1540166741737,34.47,33.95,0.52,0.58
1540166741934,34.47,33.91,0.56,0.58
1540166742134,34.51,33.85,0.66,0.58
1540166742330,34.53,33.91,0.62,0.58
1540166742532,34.55,33.83,0.72,0.58
1540166742737,34.53,33.79,0.74,0.58
1540166742933,34.53,33.83,0.70,0.59
1540166743133,34.53,33.79,0.74,0.59
1540166743331,34.59,33.87,0.72,0.59
1540166743536,34.47,33.85,0.62,0.59
1540166743736,34.45,33.85,0.60,0.60
1540166743933,34.47,33.87,0.60,0.60
1540166744133,34.51,33.87,0.64,0.60
1540166744330,34.45,33.87,0.58,0.60
1540166744535,34.45,33.87,0.58,0.60
1540166744732,34.43,33.83,0.60,0.60
1540166744932,34.47,33.85,0.62,0.61
1540166745137,34.47,33.87,0.60,0.61
1540166745334,34.47,33.91,0.56,0.61
1540166745534,34.51,33.85,0.66,0.61
1540166745731,34.51,33.83,0.68,0.61
1540166745932,34.53,33.83,0.70,0.61
1540166746128,34.47,33.85,0.62,0.61
1540166746332,34.47,33.79,0.68,0.61
1540166746533,34.51,33.83,0.68,0.62
1540166746730,34.51,33.77,0.74,0.62
1540166746931,34.43,33.83,0.60,0.62
1540166747131,34.51,33.85,0.66,0.62
1540166747333,34.51,33.83,0.68,0.62
1540166747529,34.45,33.83,0.62,0.62
1540166747730,34.53,33.77,0.76,0.62
1540166747934,34.51,33.83,0.68,0.63
1540166748131,34.45,33.79,0.66,0.63
1540166748332,34.51,33.85,0.66,0.63
1540166748528,34.53,33.79,0.74,0.63
1540166748733,34.47,33.77,0.70,0.63
1540166748934,34.47,33.77,0.70,0.63
1540166749130,34.51,33.79,0.72,0.63
1540166749331,34.51,33.83,0.68,0.64
1540166749528,34.51,33.73,0.78,0.64
1540166749732,34.51,33.77,0.74,0.64
1540166749928,34.55,33.77,0.78,0.64
1540166750130,34.51,33.77,0.74,0.65
1540166750331,34.45,33.77,0.68,0.65
1540166750531,34.51,33.79,0.72,0.65
1540166750732,34.51,33.83,0.68,0.65
1540166750928,34.45,33.73,0.72,0.66
1540166751129,34.43,33.79,0.64,0.66
1540166751326,34.39,33.77,0.62,0.66
1540166751531,34.47,33.79,0.68,0.66
1540166751731,34.47,33.77,0.70,0.67
1540166751928,34.51,33.73,0.78,0.67
1540166752128,34.51,33.71,0.80,0.67
1540166752325,34.53,33.77,0.76,0.67
1540166752530,34.53,33.71,0.82,0.67
1540166752731,34.51,33.71,0.80,0.67
1540166752927,34.55,33.77,0.78,0.68
1540166753132,34.53,33.77,0.76,0.68
1540166753329,34.53,33.71,0.82,0.68
1540166753529,34.51,33.73,0.78,0.68
1540166753726,34.51,33.79,0.72,0.69
1540166753927,34.51,33.79,0.72,0.69
1540166754131,34.51,33.77,0.74,0.69
1540166754328,34.47,33.77,0.70,0.69
1540166754528,34.51,33.79,0.72,0.70
1540166754725,34.47,33.77,0.70,0.70
1540166754930,34.53,33.79,0.74,0.70
1540166755127,34.55,33.77,0.78,0.70
1540166755328,34.53,33.73,0.80,0.70
1540166755527,34.51,33.71,0.80,0.71
1540166755724,34.53,33.71,0.82,0.71
1540166755930,34.55,33.69,0.86,0.71
1540166756127,34.53,33.69,0.84,0.71
1540166756327,34.51,33.71,0.80,0.71
1540166756523,34.53,33.71,0.82,0.72
1540166756728,34.47,33.73,0.74,0.72
1540166756929,34.51,33.73,0.78,0.72
1540166757125,34.51,33.73,0.78,0.73
1540166757326,34.51,33.69,0.82,0.73
1540166757523,34.51,33.77,0.74,0.73
1540166757728,34.51,33.71,0.80,0.73
1540166757928,34.47,33.71,0.76,0.73
1540166758125,34.51,33.71,0.80,0.74
1540166758330,34.51,33.77,0.74,0.74
1540166758526,34.53,33.73,0.80,0.74
1540166758727,34.51,33.69,0.82,0.74
1540166758923,34.59,33.71,0.88,0.74
1540166759123,34.51,33.65,0.86,0.75
1540166759328,34.55,33.65,0.90,0.75
1540166759525,34.53,33.65,0.88,0.75
1540166759726,34.51,33.69,0.82,0.75
1540166759923,34.55,33.65,0.90,0.76
1540166760127,34.53,33.65,0.88,0.76
1540166760324,34.53,33.69,0.84,0.76
1540166760525,34.51,33.65,0.86,0.77
1540166760726,34.47,33.69,0.78,0.77
1540166760922,34.51,33.69,0.82,0.77
1540166761127,34.51,33.65,0.86,0.77
1540166761324,34.43,33.73,0.70,0.78
1540166761524,34.45,33.69,0.76,0.78
1540166761725,34.51,33.71,0.80,0.78
1540166761926,34.53,33.65,0.88,0.78
1540166762126,34.51,33.65,0.86,0.78
1540166762322,34.51,33.63,0.88,0.79
1540166762524,34.59,33.61,0.98,0.79
1540166762721,34.51,33.63,0.88,0.79
1540166762925,34.51,33.65,0.86,0.79
1540166763126,34.47,33.65,0.82,0.80
1540166763322,34.53,33.69,0.84,0.80
1540166763523,34.45,33.73,0.72,0.80
1540166763720,34.47,33.79,0.68,0.80
1540166763924,34.43,33.77,0.66,0.80
1540166764121,34.51,33.73,0.78,0.80
1540166764322,34.51,33.71,0.80,0.80
1540166764527,34.47,33.71,0.76,0.80
1540166764723,34.51,33.69,0.82,0.80
1540166764924,34.45,33.65,0.80,0.80
