1539674290080,35.19,37.61,-2.42,-2.40
1539674290281,35.07,37.63,-2.56,-2.40
1539674290478,35.05,37.67,-2.62,-2.41
1539674290682,35.01,37.63,-2.62,-2.41
1539674290883,35.15,37.59,-2.44,-2.42
1539674291080,35.21,37.61,-2.40,-2.42
1539674291280,35.21,37.67,-2.46,-2.43
1539674291481,35.23,37.67,-2.44,-2.43
1539674291678,35.15,37.67,-2.52,-2.43
1539674291883,35.19,37.63,-2.44,-2.44
1539674292082,35.27,37.63,-2.36,-2.44
1539674292280,35.31,37.67,-2.36,-2.44
1539674292480,35.35,37.67,-2.32,-2.44
1539674292677,35.31,37.69,-2.38,-2.44
1539674292878,35.35,37.67,-2.32,-2.44
1539674293082,35.35,37.63,-2.28,-2.44
1539674293279,35.47,37.63,-2.16,-2.44
1539674293479,35.43,37.63,-2.20,-2.44
1539674293681,35.43,37.69,-2.26,-2.44
1539674293877,35.37,37.61,-2.24,-2.44
1539674294078,35.37,37.63,-2.26,-2.43
1539674294283,35.23,37.67,-2.44,-2.43
1539674294479,35.29,37.69,-2.40,-2.43
1539674294680,35.31,37.59,-2.28,-2.42
1539674294880,35.35,37.67,-2.32,-2.42
1539674295077,35.31,37.63,-2.32,-2.42
1539674295278,35.31,37.69,-2.38,-2.41
1539674295474,35.31,37.69,-2.38,-2.41
1539674295679,35.31,37.67,-2.36,-2.41
1539674295880,35.31,37.63,-2.32,-2.41
1539674296077,35.27,37.61,-2.34,-2.40
1539674296277,35.37,37.67,-2.30,-2.40
1539674296482,35.37,37.63,-2.26,-2.40
1539674296675,35.29,37.69,-2.40,-2.40
1539674296879,35.21,37.77,-2.56,-2.40
1539674297080,35.07,37.63,-2.56,-2.39
1539674297277,35.15,37.69,-2.54,-2.39
1539674297477,35.19,37.63,-2.44,-2.39
1539674297674,35.21,37.67,-2.46,-2.39
1539674297878,35.19,37.67,-2.48,-2.39
1539674298079,35.21,37.63,-2.42,-2.39
1539674298276,35.21,37.61,-2.40,-2.39
1539674298476,35.15,37.61,-2.46,-2.39
1539674298677,35.19,37.59,-2.40,-2.39
1539674298874,35.23,37.61,-2.38,-2.39
1539674299079,35.27,37.61,-2.34,-2.39
1539674299279,35.27,37.61,-2.34,-2.39
1539674299476,35.23,37.63,-2.40,-2.39
1539674299677,35.21,37.67,-2.46,-2.39
1539674299878,35.19,37.69,-2.50,-2.39
1539674300074,35.23,37.61,-2.38,-2.39
1539674300279,35.23,37.63,-2.40,-2.39
1539674300475,35.13,37.79,-2.66,-2.39
1539674300675,35.13,37.77,-2.64,-2.39
1539674300876,35.19,37.71,-2.52,-2.40
1539674301073,35.13,37.67,-2.54,-2.40
1539674301274,35.07,37.79,-2.72,-2.40
1539674301478,35.07,37.71,-2.64,-2.40
1539674301675,35.09,37.71,-2.62,-2.40
1539674301876,35.09,37.77,-2.68,-2.41
1539674302076,35.21,37.69,-2.48,-2.41
1539674302273,35.27,37.69,-2.42,-2.42
1539674302474,35.29,37.71,-2.42,-2.42
1539674302679,35.29,37.71,-2.42,-2.42
1539674302875,35.23,37.67,-2.44,-2.43
1539674303077,35.07,37.77,-2.70,-2.43
1539674303273,35.19,37.71,-2.52,-2.43
1539674303473,35.21,37.75,-2.54,-2.44
1539674303674,35.19,37.67,-2.48,-2.44
1539674303871,35.21,37.67,-2.46,-2.44
1539674304076,35.29,37.67,-2.38,-2.44
1539674304276,35.29,37.69,-2.40,-2.45
1539674304473,35.19,37.63,-2.44,-2.45
1539674304673,35.09,37.71,-2.62,-2.45
1539674304874,35.13,37.67,-2.54,-2.45
1539674305070,35.27,37.69,-2.42,-2.46
1539674305275,35.29,37.69,-2.40,-2.46
