1539674564134,34.93,38.33,-3.40,-3.22
1539674564339,34.83,38.25,-3.42,-3.22
1539674564539,34.97,38.37,-3.40,-3.22
1539674564736,34.99,38.37,-3.38,-3.23
1539674564937,34.99,38.35,-3.36,-3.23
1539674565133,34.93,38.37,-3.44,-3.23
1539674565338,34.91,38.41,-3.50,-3.24
1539674565539,34.99,38.41,-3.42,-3.24
1539674565735,35.01,38.41,-3.40,-3.25
1539674565936,34.99,38.45,-3.46,-3.25
1539674566133,34.99,38.43,-3.44,-3.25
1539674566337,34.93,38.41,-3.48,-3.26
1539674566538,35.01,38.37,-3.36,-3.26
1539674566735,34.99,38.41,-3.42,-3.27
1539674566935,34.99,38.41,-3.42,-3.28
1539674567131,34.89,38.43,-3.54,-3.28
1539674567337,34.91,38.45,-3.54,-3.29
1539674567538,34.89,38.43,-3.54,-3.29
1539674567734,34.75,38.45,-3.70,-3.30
1539674567935,34.75,38.41,-3.66,-3.31
1539674568131,34.75,38.43,-3.68,-3.32
1539674568336,34.83,38.43,-3.60,-3.32
1539674568537,34.83,38.49,-3.66,-3.33
1539674568734,34.91,38.43,-3.52,-3.34
1539674568934,34.91,38.43,-3.52,-3.35
1539674569131,34.99,38.43,-3.44,-3.36
1539674569336,34.97,38.45,-3.48,-3.37
1539674569536,35.01,38.45,-3.44,-3.37
1539674569733,35.13,38.49,-3.36,-3.38
1539674569938,35.01,38.43,-3.42,-3.38
1539674570134,34.99,38.43,-3.44,-3.39
1539674570335,34.97,38.35,-3.38,-3.40
1539674570536,34.99,38.43,-3.44,-3.40
1539674570732,34.99,38.37,-3.38,-3.40
1539674570937,35.01,38.41,-3.40,-3.41
1539674571133,35.01,38.37,-3.36,-3.41
1539674571334,35.07,38.43,-3.36,-3.41
1539674571535,35.19,38.37,-3.18,-3.41
1539674571732,35.21,38.35,-3.14,-3.41
1539674571936,35.23,38.33,-3.10,-3.41
1539674572133,35.29,38.29,-3.00,-3.41
1539674572333,35.29,38.33,-3.04,-3.41
1539674572534,35.13,38.29,-3.16,-3.40
1539674572730,35.09,38.33,-3.24,-3.40
1539674572935,35.19,38.27,-3.08,-3.39
1539674573132,35.15,38.27,-3.12,-3.39
1539674573333,35.09,38.25,-3.16,-3.38
1539674573530,35.15,38.27,-3.12,-3.38
1539674573735,35.09,38.29,-3.20,-3.37
1539674573936,35.19,38.25,-3.06,-3.36
1539674574132,35.09,38.27,-3.18,-3.36
1539674574332,35.01,38.27,-3.26,-3.35
1539674574529,34.99,38.27,-3.28,-3.34
1539674574734,34.93,38.19,-3.26,-3.34
1539674574934,34.89,38.21,-3.32,-3.33
1539674575131,34.93,38.21,-3.28,-3.33
1539674575332,34.93,38.19,-3.26,-3.32
1539674575529,35.05,38.21,-3.16,-3.31
1539674575733,35.05,38.17,-3.12,-3.31
1539674575934,35.01,38.21,-3.20,-3.31
1539674576130,35.07,38.21,-3.14,-3.30
1539674576335,35.01,38.25,-3.24,-3.30
1539674576532,34.99,38.21,-3.22,-3.29
1539674576733,35.01,38.19,-3.18,-3.29
1539674576933,35.09,38.21,-3.12,-3.28
1539674577130,35.09,38.21,-3.12,-3.28
1539674577334,35.09,38.25,-3.16,-3.28
1539674577531,35.05,38.17,-3.12,-3.27
1539674577732,35.05,38.21,-3.16,-3.27
1539674577929,35.13,38.21,-3.08,-3.26
1539674578129,35.05,38.21,-3.16,-3.26
