1540168239818,34.99,34.15,0.84,0.83
1540168240015,34.97,34.09,0.88,0.84
1540168240216,34.93,34.09,0.84,0.84
1540168240413,34.97,34.09,0.88,0.84
1540168240617,34.91,34.09,0.82,0.84
1540168240817,34.99,34.07,0.92,0.84
1540168241014,35.01,34.07,0.94,0.85
1540168241219,34.93,34.07,0.86,0.85
1540168241416,34.97,34.15,0.82,0.85
1540168241616,34.97,34.09,0.88,0.85
1540168241813,34.99,34.15,0.84,0.85
1540168242018,34.99,34.13,0.86,0.85
1540168242215,34.99,34.13,0.86,0.86
1540168242415,34.99,34.17,0.82,0.86
1540168242612,34.99,34.07,0.92,0.86
1540168242747,Interruption
1540168242817,34.99,34.13,0.86,0.86
1540168243018,35.01,34.13,0.88,0.86
1540168243214,34.99,34.15,0.84,0.86
1540168243334,Reaction,0,0,0,587
1540168243414,34.97,34.17,0.80,0.86
1540168243611,34.91,34.17,0.74,0.86
1540168243816,35.01,34.15,0.86,0.86
1540168244013,35.01,34.21,0.80,0.86
1540168244213,34.99,34.17,0.82,0.86
1540168244410,34.99,34.15,0.84,0.86
1540168244614,34.97,34.13,0.84,0.86
1540168244811,34.99,34.17,0.82,0.86
1540168245012,34.91,34.21,0.70,0.86
1540168245217,34.97,34.17,0.80,0.85
1540168245413,34.99,34.17,0.82,0.85
1540168245614,34.99,34.21,0.78,0.85
1540168245811,34.99,34.17,0.82,0.85
1540168246016,34.99,34.17,0.82,0.85
1540168246212,34.99,34.13,0.86,0.85
1540168246412,35.01,34.15,0.86,0.85
1540168246609,35.05,34.21,0.84,0.85
1540168246814,34.93,34.23,0.70,0.85
1540168247011,35.01,34.21,0.80,0.84
1540168247211,34.93,34.29,0.64,0.84
1540168247408,35.01,34.25,0.76,0.84
1540168247613,34.93,34.21,0.72,0.84
1540168247814,34.93,34.21,0.72,0.84
1540168248010,34.97,34.29,0.68,0.83
1540168248211,34.91,34.21,0.70,0.83
1540168248411,34.97,34.17,0.80,0.83
1540168248613,34.93,34.17,0.76,0.83
1540168248809,34.99,34.15,0.84,0.82
1540168249010,35.01,34.17,0.84,0.82
1540168249210,34.99,34.15,0.84,0.82
1540168249410,34.97,34.23,0.74,0.82
1540168249608,35.01,34.13,0.88,0.82
1540168249808,34.89,34.17,0.72,0.82
1540168250005,35.05,34.15,0.90,0.81
1540168250209,35.01,34.21,0.80,0.81
1540168250410,34.97,34.21,0.76,0.81
1540168250607,34.93,34.17,0.76,0.81
1540168250812,34.93,34.17,0.76,0.81
1540168251008,34.91,34.15,0.76,0.81
1540168251209,34.99,34.09,0.90,0.81
1540168251405,34.89,34.07,0.82,0.80
1540168251610,34.93,34.09,0.84,0.80
1540168251807,34.91,34.09,0.82,0.80
1540168252008,34.93,34.09,0.84,0.80
1540168252204,34.97,34.03,0.94,0.80
1540168252409,34.99,34.07,0.92,0.80
1540168252610,34.93,34.01,0.92,0.80
1540168252807,34.97,33.93,1.04,0.80
1540168253007,34.97,33.93,1.04,0.80
1540168253208,34.99,33.87,1.12,0.81
1540168253340,Interruption
1540168253408,34.93,33.85,1.08,0.81
1540168253604,34.97,33.83,1.14,0.82
1540168253806,35.01,33.87,1.14,0.82
1540168253958,Reaction,0,0,0,618
1540168254006,34.93,33.87,1.06,0.82
1540168254207,34.97,33.95,1.02,0.83
1540168254403,34.97,34.01,0.96,0.84
1540168254604,34.97,34.03,0.94,0.84
1540168254801,34.97,33.99,0.98,0.85
1540168255006,34.91,34.03,0.88,0.85
1540168255206,34.93,34.03,0.90,0.86
1540168255403,34.97,34.01,0.96,0.86
1540168255608,34.97,34.03,0.94,0.87
1540168255805,34.93,34.01,0.92,0.87
1540168256005,34.97,33.99,0.98,0.87
1540168256202,34.91,33.95,0.96,0.88
1540168256407,34.97,34.01,0.96,0.88
1540168256603,35.01,33.95,1.06,0.89
1540168256804,35.01,33.99,1.02,0.89
1540168257004,34.97,33.99,0.98,0.89
1540168257205,35.01,33.99,1.02,0.90
1540168257406,34.97,33.95,1.02,0.90
1540168257603,34.99,33.99,1.00,0.90
1540168257803,34.97,34.03,0.94,0.91
1540168258000,34.91,34.03,0.88,0.91
1540168258204,34.93,34.03,0.90,0.91
1540168258401,34.93,34.03,0.90,0.92
1540168258602,34.91,34.01,0.90,0.92
1540168258799,34.97,33.99,0.98,0.92
1540168259003,34.91,34.01,0.90,0.92
1540168259204,34.93,34.01,0.92,0.92
1540168259401,34.93,34.01,0.92,0.92
1540168259605,34.99,34.03,0.96,0.93
1540168259802,34.97,33.99,0.98,0.93
1540168260002,34.97,33.99,0.98,0.93
1540168260199,34.99,33.95,1.04,0.93
1540168260400,34.99,33.99,1.00,0.93
1540168260597,34.99,33.99,1.00,0.93
1540168260801,34.99,34.01,0.98,0.93
1540168261002,34.97,33.99,0.98,0.93
1540168261198,34.97,34.01,0.96,0.94
1540168261404,34.97,34.03,0.94,0.94
1540168261600,34.99,34.01,0.98,0.94
1540168261801,34.97,34.03,0.94,0.94
1540168261997,34.97,33.95,1.02,0.94
1540168262202,34.97,33.93,1.04,0.94
1540168262399,34.97,33.99,0.98,0.94
1540168262599,34.99,33.95,1.04,0.95
1540168262796,34.93,33.99,0.94,0.95
1540168262996,34.93,33.99,0.94,0.95
1540168263202,34.99,33.99,1.00,0.95
1540168263398,34.91,33.95,0.96,0.95
1540168263599,34.99,33.99,1.00,0.95
1540168263795,34.99,33.99,1.00,0.95
1540168263964,Interruption
1540168264000,34.93,33.99,0.94,0.95
1540168264197,34.99,34.01,0.98,0.95
1540168264398,34.99,33.99,1.00,0.95
1540168264602,34.97,33.95,1.02,0.96
1540168264806,Reaction,0,0,0,842
1540168264799,35.01,34.01,1.00,0.96
1540168265000,34.97,33.99,0.98,0.96
1540168265196,34.93,34.01,0.92,0.96
1540168265397,34.99,34.03,0.96,0.96
1540168265593,34.93,34.01,0.92,0.96
1540168265798,34.93,33.93,1.00,0.96
1540168265994,34.91,33.99,0.92,0.96
1540168266196,34.93,33.95,0.98,0.96
1540168266400,34.91,33.99,0.92,0.96
1540168266597,34.97,33.99,0.98,0.97
1540168266797,34.93,33.95,0.98,0.97
1540168266994,34.93,33.95,0.98,0.97
1540168267199,34.99,34.01,0.98,0.97
1540168267396,34.93,34.01,0.92,0.97
1540168267596,34.97,33.99,0.98,0.97
1540168267793,34.99,33.95,1.04,0.97
1540168267994,34.93,33.99,0.94,0.97
1540168268194,34.97,34.07,0.90,0.97
1540168268395,34.91,34.01,0.90,0.97
1540168268595,34.89,34.07,0.82,0.97
1540168268792,34.93,34.01,0.92,0.97
1540168268997,34.91,33.99,0.92,0.97
1540168269194,34.93,33.99,0.94,0.97
1540168269394,34.93,34.01,0.92,0.97
1540168269591,34.91,33.99,0.92,0.97
1540168269796,34.89,34.01,0.88,0.96
1540168269993,34.97,34.07,0.90,0.96
1540168270193,34.93,34.03,0.90,0.96
1540168270394,34.99,33.99,1.00,0.96
1540168270594,34.91,33.99,0.92,0.96
1540168270795,34.99,34.01,0.98,0.96
1540168270992,34.97,33.99,0.98,0.96
1540168271192,34.97,33.95,1.02,0.96
1540168271389,34.97,33.99,0.98,0.96
1540168271593,35.01,34.01,1.00,0.96
1540168271791,34.99,33.99,1.00,0.96
1540168271991,35.01,34.07,0.94,0.96
1540168272196,34.97,34.01,0.96,0.96
1540168272392,35.01,34.07,0.94,0.96
1540168272593,34.97,34.07,0.90,0.96
1540168272790,34.97,34.07,0.90,0.96
1540168272995,34.93,34.01,0.92,0.96
1540168273191,34.97,34.01,0.96,0.96
1540168273392,34.97,34.01,0.96,0.96
1540168273588,34.93,33.99,0.94,0.96
1540168273793,34.91,34.07,0.84,0.96
1540168273990,34.91,34.07,0.84,0.95
1540168274190,34.93,34.09,0.84,0.95
1540168274387,34.99,34.07,0.92,0.95
1540168274587,34.93,34.09,0.84,0.95
1540168274793,34.97,34.07,0.90,0.95
1540168274825,Interruption
1540168274989,35.01,34.09,0.92,0.95
1540168275190,34.99,34.07,0.92,0.95
1540168275333,Reaction,0,0,0,508
1540168275386,34.99,33.99,1.00,0.94
1540168275592,34.97,33.99,0.98,0.94
1540168275788,34.97,33.99,0.98,0.94
1540168275989,34.99,34.03,0.96,0.94
1540168276185,35.01,34.07,0.94,0.94
1540168276390,34.97,34.03,0.94,0.94
1540168276591,34.99,34.03,0.96,0.94
1540168276787,34.97,34.09,0.88,0.94
1540168276988,34.97,34.09,0.88,0.94
1540168277188,34.99,34.07,0.92,0.94
1540168277389,34.93,34.07,0.86,0.94
1540168277586,34.99,34.07,0.92,0.94
1540168277787,34.97,34.03,0.94,0.94
1540168277983,34.99,34.07,0.92,0.94
1540168278188,34.99,34.09,0.90,0.94
1540168278389,34.97,34.15,0.82,0.93
1540168278586,34.99,34.21,0.78,0.93
1540168278790,35.01,34.15,0.86,0.93
1540168278987,34.97,34.15,0.82,0.93
1540168279187,34.93,34.13,0.80,0.93
1540168279384,34.91,34.21,0.70,0.92
1540168279589,34.93,34.21,0.72,0.92
1540168279785,34.99,34.17,0.82,0.92
1540168279986,34.99,34.13,0.86,0.91
1540168280182,34.97,34.09,0.88,0.91
1540168280388,34.97,34.09,0.88,0.91
1540168280584,34.97,34.07,0.90,0.90
1540168280785,34.97,34.07,0.90,0.90
1540168280981,34.93,34.03,0.90,0.90
1540168281186,34.97,34.07,0.90,0.90
1540168281387,35.01,34.07,0.94,0.89
1540168281583,34.93,34.03,0.90,0.89
1540168281784,34.93,34.03,0.90,0.89
1540168281985,34.97,33.99,0.98,0.89
1540168282185,34.97,33.99,0.98,0.89
1540168282382,34.99,33.99,1.00,0.89
1540168282583,34.93,33.95,0.98,0.89
1540168282780,34.99,33.93,1.06,0.89
