1539762654599,315,-1.32,0.04
1539762696029,34.77,35.47,-0.70,-0.39
1539762696225,34.63,35.43,-0.80,-0.40
1539762696426,34.61,35.43,-0.82,-0.40
1539762696623,34.53,35.39,-0.86,-0.41
1539762696823,34.59,35.35,-0.76,-0.42
1539762697028,34.69,35.29,-0.60,-0.43
1539762697224,34.77,35.23,-0.46,-0.44
1539762697426,34.89,35.27,-0.38,-0.45
1539762697622,34.91,35.21,-0.30,-0.46
1539762697827,35.01,35.35,-0.34,-0.46
1539762698024,34.99,35.31,-0.32,-0.47
1539762698224,34.83,35.47,-0.64,-0.47
1539762698425,34.77,35.45,-0.68,-0.47
1539762698626,34.71,35.51,-0.80,-0.48
1539762698826,34.75,35.47,-0.72,-0.48
1539762699023,34.77,35.47,-0.70,-0.49
1539762699224,34.75,35.51,-0.76,-0.49
1539762699429,34.89,35.53,-0.64,-0.50
1539762699625,34.81,35.63,-0.82,-0.50
1539762699826,34.85,35.63,-0.78,-0.51
1539762700022,34.89,35.69,-0.80,-0.52
1539762700223,34.89,35.61,-0.72,-0.52
1539762700428,34.89,35.47,-0.58,-0.53
1539762700624,34.85,35.55,-0.70,-0.54
1539762700825,34.91,35.67,-0.76,-0.54
1539762701022,34.91,35.71,-0.80,-0.55
1539762701222,34.91,35.83,-0.92,-0.56
1539762701419,35.05,35.99,-0.94,-0.56
1539762701624,34.97,36.09,-1.12,-0.57
1539762701824,35.01,36.09,-1.08,-0.58
1539762702021,34.99,36.01,-1.02,-0.59
1539762702222,35.07,35.77,-0.70,-0.60
1539762702418,35.09,35.71,-0.62,-0.61
1539762702623,35.01,35.75,-0.74,-0.62
1539762702824,34.85,35.69,-0.84,-0.63
1539762703021,34.71,35.55,-0.84,-0.64
1539762703225,34.63,35.43,-0.80,-0.64
1539762703422,34.61,35.39,-0.78,-0.65
1539762703622,34.61,35.39,-0.78,-0.66
1539762703823,34.63,35.47,-0.84,-0.67
1539762704020,34.75,35.53,-0.78,-0.67
1539762704225,34.69,35.47,-0.78,-0.68
1539762704421,34.67,35.43,-0.76,-0.68
1539762704622,34.71,35.35,-0.64,-0.69
1539762704823,34.75,35.43,-0.68,-0.69
1539762705019,34.77,35.31,-0.54,-0.70
1539762705224,34.75,35.27,-0.52,-0.70
1539762705421,34.71,35.31,-0.60,-0.70
1539762705621,34.81,35.29,-0.48,-0.71
1539762705822,34.77,35.27,-0.50,-0.71
1539762706018,34.83,35.31,-0.48,-0.71
1539762706223,34.91,35.31,-0.40,-0.70
1539762706419,35.01,35.23,-0.22,-0.70
1539762706621,35.05,35.29,-0.24,-0.70
1539762706821,35.01,35.27,-0.26,-0.69
1539762707023,35.01,35.29,-0.28,-0.68
1539762707219,34.85,35.31,-0.46,-0.68
1539762707420,34.75,35.37,-0.62,-0.67
1539762707624,34.61,35.45,-0.84,-0.66
1539762707820,34.67,35.47,-0.80,-0.65
1539762708022,34.63,35.55,-0.92,-0.65
1539762708218,34.77,35.45,-0.68,-0.65
1539762708418,34.75,35.35,-0.60,-0.64
1539762708615,34.85,35.23,-0.38,-0.64
1539762708820,34.83,35.27,-0.44,-0.64
1539762709021,34.81,35.15,-0.34,-0.63
1539762709217,34.77,35.15,-0.38,-0.63
1539762709422,34.81,35.19,-0.38,-0.62
1539762709619,34.77,35.19,-0.42,-0.62
1539762709820,34.83,35.19,-0.36,-0.61
1539762710016,34.81,35.15,-0.34,-0.61
1539762710220,34.91,35.29,-0.38,-0.60
1539762710421,34.89,35.37,-0.48,-0.60
1539762710617,34.85,35.45,-0.60,-0.59
1539762710819,34.91,35.45,-0.54,-0.58
1539762711015,35.01,35.31,-0.30,-0.58
1539762711220,34.91,35.35,-0.44,-0.57
1539762711417,34.91,35.29,-0.38,-0.57
1539762711618,34.85,35.37,-0.52,-0.56
1539762711822,34.85,35.45,-0.60,-0.56
1539762712019,34.93,35.47,-0.54,-0.56
