1540346853569,38.43,28.13,10.30,10.51
1540346853770,38.43,27.93,10.50,10.49
1540346853966,38.41,27.99,10.42,10.50
1540346854167,38.45,28.05,10.40,10.49
1540346854368,38.37,27.95,10.42,10.48
1540346854568,38.43,27.99,10.44,10.49
1540346854765,38.43,27.99,10.44,10.48
1540346854970,38.45,27.91,10.54,10.48
1540346855167,38.45,27.87,10.58,10.48
1540346855367,38.43,27.85,10.58,10.47
1540346855563,38.37,27.85,10.52,10.48
1540346855769,38.43,27.81,10.62,10.47
1540346855965,38.37,27.87,10.50,10.47
1540346856166,38.41,27.91,10.50,10.47
1540346856363,38.41,27.91,10.50,10.47
1540346856568,38.41,27.91,10.50,10.48
1540346856764,38.35,27.93,10.42,10.47
1540346856964,38.43,27.95,10.48,10.48
1540346857161,38.43,27.95,10.48,10.48
1540346857366,38.41,28.05,10.36,10.47
1540346857563,38.49,28.07,10.42,10.48
1540346857764,38.45,28.01,10.44,10.47
1540346857968,38.43,27.99,10.44,10.48
1540346858165,38.43,28.01,10.42,10.47
1540346858365,38.41,27.99,10.42,10.47
1540346858562,38.45,28.01,10.44,10.48
1540346858767,38.41,27.99,10.42,10.47
1540346858963,38.45,28.01,10.44,10.47
1540346859164,38.41,28.01,10.40,10.47
1540346859360,38.45,28.07,10.38,10.46
1540346859565,38.45,28.11,10.34,10.47
1540346859761,38.49,28.05,10.44,10.46
1540346859963,38.51,28.01,10.50,10.47
1540346860163,38.45,27.93,10.52,10.46
1540346860364,38.43,27.91,10.52,10.46
1540346860561,38.41,27.87,10.54,10.46
1540346860761,38.45,27.87,10.58,10.45
1540346860958,38.49,27.99,10.50,10.46
1540346861162,38.45,27.99,10.46,10.46
1540346861358,38.45,28.05,10.40,10.45
1540346861560,38.45,28.05,10.40,10.46
1540346861765,38.45,28.17,10.28,10.45
1540346861961,38.45,28.07,10.38,10.46
1540346862162,38.45,28.05,10.40,10.45
1540346862358,38.43,28.07,10.36,10.45
1540346862566,38.49,28.05,10.44,10.46
1540346862764,38.43,28.01,10.42,10.44
1540346862961,38.45,27.95,10.50,10.45
1540346863157,38.45,27.99,10.46,10.45
1540346863362,38.49,28.01,10.48,10.44
1540346863559,38.43,28.01,10.42,10.45
1540346863760,38.43,28.05,10.38,10.44
1540346863956,38.51,28.11,10.40,10.44
1540346864160,38.49,28.07,10.42,10.44
1540346864357,38.49,28.07,10.42,10.43
1540346864558,38.45,28.17,10.28,10.44
1540346864754,38.43,28.07,10.36,10.43
1540346864959,38.43,28.07,10.36,10.44
1540346865156,38.43,28.07,10.36,10.43
1540346865357,38.43,28.05,10.38,10.43
1540346865562,38.41,28.11,10.30,10.43
1540346865764,38.49,28.07,10.42,10.42
1540346865959,38.43,28.05,10.38,10.43
1540346866155,38.41,27.99,10.42,10.42
1540346866360,38.37,28.05,10.32,10.42
1540346866557,38.43,28.01,10.42,10.42
1540346866757,38.35,27.95,10.40,10.41
1540346866954,38.45,27.93,10.52,10.42
1540346867159,38.43,27.87,10.56,10.42
1540346867356,38.41,27.73,10.68,10.41
1540346867556,38.43,27.79,10.64,10.42
1540346867753,38.41,27.73,10.68,10.41
1540346867957,38.49,27.79,10.70,10.42
1540346868154,38.43,27.79,10.64,10.42
1540346868355,38.49,27.91,10.58,10.42
1540346868552,38.37,27.91,10.46,10.43
1540346868757,38.45,27.93,10.52,10.43
1540346868957,38.43,27.91,10.52,10.44
1540346869154,38.41,27.99,10.42,10.44
1540346869359,38.41,27.99,10.42,10.44
1540346869555,38.45,27.95,10.50,10.45
1540346869756,38.37,27.93,10.44,10.44
1540346869952,38.41,27.95,10.46,10.45
1540346870157,38.41,27.93,10.48,10.45
1540346870354,38.41,27.99,10.42,10.45
1540346870554,38.37,27.99,10.38,10.46
1540346870751,38.43,27.95,10.48,10.45
1540346870958,38.45,27.99,10.46,10.46
1540346871152,38.45,27.95,10.50,10.45
1540346871353,38.37,27.93,10.44,10.45
1540346871549,38.41,27.87,10.54,10.46
1540346871755,38.37,27.87,10.50,10.45
1540346871951,38.37,27.87,10.50,10.46
1540346872152,38.37,27.85,10.52,10.46
1540346872357,38.45,27.81,10.64,10.45
1540346872553,38.43,27.81,10.62,10.46
1540346872754,38.35,27.75,10.60,10.46
1540346872950,38.43,27.75,10.68,10.47
1540346873155,38.37,27.93,10.44,10.47
1540346873352,38.41,27.91,10.50,10.46
1540346873552,38.41,27.95,10.46,10.48
1540346873749,38.41,27.91,10.50,10.47
1540346873954,38.41,27.99,10.42,10.48
1540346874153,38.35,28.05,10.30,10.48
1540346874352,38.41,28.07,10.34,10.47
1540346874551,38.37,27.99,10.38,10.48
1540346874752,38.37,28.05,10.32,10.47
1540346874960,38.37,28.07,10.30,10.48
1540346875150,38.41,28.05,10.36,10.48
1540346875346,38.37,28.13,10.24,10.47
1540346875552,38.37,28.11,10.26,10.48
1540346875748,38.37,28.13,10.24,10.46
1540346875948,38.41,28.05,10.36,10.47
1540346876146,38.37,28.05,10.32,10.46
1540346876350,38.35,28.01,10.34,10.45
1540346876550,38.37,28.01,10.36,10.46
1540346876748,38.33,27.87,10.46,10.45
1540346876952,38.35,27.91,10.44,10.45
1540346877149,38.33,27.85,10.48,10.45
1540346877350,38.41,27.85,10.56,10.44
1540346877546,38.29,27.85,10.44,10.45
1540346877750,38.41,27.79,10.62,10.44
1540346877948,38.37,27.81,10.56,10.44
1540346878148,38.37,27.87,10.50,10.44
1540346878346,38.37,27.81,10.56,10.44
1540346878549,38.35,27.93,10.42,10.45
1540346878746,38.35,27.99,10.36,10.44
1540346878947,38.41,28.05,10.36,10.45
1540346879143,38.37,28.13,10.24,10.45
1540346879362,38.35,28.23,10.12,10.44
1540346879545,38.29,28.19,10.10,10.45
1540346879746,38.37,28.13,10.24,10.44
1540346879950,38.35,28.05,10.30,10.44
1540346880147,38.37,27.93,10.44,10.44
1540346880347,38.37,27.95,10.42,10.43
1540346880544,38.41,28.01,10.40,10.43
1540346880749,38.33,27.99,10.34,10.42
1540346880945,38.37,27.93,10.44,10.43
1540346881146,38.33,27.93,10.40,10.42
1540346881343,38.37,27.95,10.42,10.42
1540346881547,38.27,27.85,10.42,10.42
1540346881744,38.33,27.85,10.48,10.41
1540346881945,38.37,27.81,10.56,10.42
1540346882142,38.41,27.85,10.56,10.42
1540346882347,38.33,27.85,10.48,10.41
1540346882543,38.37,27.79,10.58,10.42
1540346882744,38.29,27.79,10.50,10.41
1540346882940,38.33,27.79,10.54,10.42
1540346883145,38.37,27.79,10.58,10.42
1540346883345,38.33,27.85,10.48,10.42
1540346883542,38.33,27.87,10.46,10.43
1540346883747,38.33,27.91,10.42,10.42
1540346883943,38.29,27.87,10.42,10.43
1540346884144,38.33,27.91,10.42,10.43
1540346884340,38.37,27.87,10.50,10.42
