1540344049945,38.05,33.39,4.66,4.90
1540344050141,38.05,33.33,4.72,4.89
1540344050346,38.09,33.33,4.76,4.87
1540344050547,38.09,33.25,4.84,4.86
1540344050743,38.11,33.17,4.94,4.85
1540344050949,38.03,33.17,4.86,4.84
1540344051144,38.09,33.19,4.90,4.83
1540344051346,38.13,33.25,4.88,4.82
1540344051542,38.09,33.29,4.80,4.82
1540344051747,38.11,33.33,4.78,4.81
1540344051944,38.11,33.27,4.84,4.81
1540344052144,38.11,33.17,4.94,4.81
1540344052341,38.05,33.13,4.92,4.80
1540344052545,38.11,33.03,5.08,4.80
1540344052742,38.11,33.05,5.06,4.80
1540344052943,38.09,33.11,4.98,4.80
1540344053140,38.11,33.17,4.94,4.80
1540344053344,38.11,33.19,4.92,4.80
1540344053541,38.13,33.05,5.08,4.81
1540344053741,38.11,32.97,5.14,4.80
1540344053946,38.05,32.95,5.10,4.81
1540344054142,38.11,32.95,5.16,4.82
1540344054343,38.05,33.05,5.00,4.82
1540344054541,38.09,33.11,4.98,4.83
1540344054745,38.03,33.21,4.82,4.83
1540344054942,38.05,33.33,4.72,4.84
1540344055143,38.03,33.29,4.74,4.84
1540344055339,38.01,33.39,4.62,4.84
1540344055544,38.09,33.39,4.70,4.85
1540344055741,38.03,33.41,4.62,4.84
1540344055941,38.11,33.43,4.68,4.85
1540344056137,38.05,33.55,4.50,4.85
1540344056338,38.05,33.51,4.54,4.84
1540344056543,38.01,33.51,4.50,4.84
1540344056740,38.13,33.51,4.62,4.83
1540344056941,38.11,33.55,4.56,4.83
1540344057137,38.11,33.55,4.56,4.83
1540344057342,38.03,33.57,4.46,4.82
1540344057538,38.03,33.57,4.46,4.82
1540344057739,38.09,33.57,4.52,4.81
1540344057936,38.09,33.55,4.54,4.80
1540344058141,38.05,33.55,4.50,4.79
1540344058341,38.13,33.61,4.52,4.78
1540344058538,38.09,33.61,4.48,4.78
1540344058742,38.09,33.55,4.54,4.77
1540344058939,38.03,33.51,4.52,4.76
1540344059140,38.11,33.49,4.62,4.75
1540344059337,38.11,33.49,4.62,4.74
1540344059537,38.05,33.41,4.64,4.74
1540344059733,38.03,33.41,4.62,4.73
1540344059939,38.03,33.43,4.60,4.72
1540344060135,38.03,33.41,4.62,4.72
1540344060335,38.03,33.39,4.64,4.71
1540344060540,38.05,33.43,4.62,4.71
1540344060737,38.01,33.39,4.62,4.70
1540344060938,38.09,33.41,4.68,4.70
1540344061135,38.11,33.39,4.72,4.70
1540344061339,38.03,33.33,4.70,4.69
1540344061535,38.09,33.33,4.76,4.69
1540344061736,38.03,33.29,4.74,4.68
1540344061937,38.01,33.35,4.66,4.68
1540344062134,38.05,33.27,4.78,4.68
1540344062338,38.05,33.27,4.78,4.68
1540344062535,38.01,33.25,4.76,4.68
1540344062736,38.03,33.17,4.86,4.68
1540344062933,38.05,33.13,4.92,4.68
1540344063137,38.09,33.05,5.04,4.68
1540344063334,38.03,32.97,5.06,4.68
1540344063534,38.01,32.99,5.02,4.69
1540344063735,38.03,33.11,4.92,4.69
1540344063932,38.03,33.19,4.84,4.70
1540344064136,38.09,33.27,4.82,4.70
1540344064333,38.03,33.25,4.78,4.71
1540344064534,38.11,33.17,4.94,4.71
1540344064731,38.05,33.17,4.88,4.72
1540344064935,38.05,33.17,4.88,4.72
1540344065132,38.03,33.17,4.86,4.73
1540344065332,38.09,33.17,4.92,4.73
1540344065533,38.05,33.07,4.98,4.74
1540344065730,38.03,33.21,4.82,4.74
1540344065934,38.09,33.27,4.82,4.75
1540344066131,38.03,33.33,4.70,4.75
1540344066332,38.03,33.35,4.68,4.75
1540344066529,38.03,33.29,4.74,4.76
1540344066734,38.03,33.25,4.78,4.76
1540344066935,38.03,33.19,4.84,4.76
1540344067131,38.03,33.07,4.96,4.77
1540344067331,38.01,33.11,4.90,4.77
1540344067528,38.01,33.05,4.96,4.77
1540344067733,38.03,33.03,5.00,4.77
1540344067929,38.05,33.03,5.02,4.78
1540344068130,38.03,32.99,5.04,4.78
1540344068335,38.03,32.99,5.04,4.78
1540344068532,38.03,32.99,5.04,4.79
1540344068732,38.01,32.99,5.02,4.79
1540344068929,38.01,32.99,5.02,4.80
1540344069130,38.03,33.03,5.00,4.81
1540344069334,38.05,33.05,5.00,4.81
1540344069531,38.05,33.05,5.00,4.82
1540344069732,38.03,33.03,5.00,4.82
1540344069928,38.01,32.99,5.02,4.83
1540344070133,38.03,32.99,5.04,4.84
1540344070330,37.99,32.99,5.00,4.84
1540344070530,38.11,32.99,5.12,4.85
1540344070731,38.03,32.97,5.06,4.85
1540344070928,38.03,32.91,5.12,4.86
1540344071133,38.01,32.97,5.04,4.87
1540344071329,38.05,32.99,5.06,4.87
1540344071530,38.03,32.95,5.08,4.88
1540344071727,38.01,32.95,5.06,4.88
1540344071926,38.03,32.97,5.06,4.89
1540344072128,38.03,32.95,5.08,4.90
1540344072328,38.03,32.97,5.06,4.90
1540344072529,38.05,32.95,5.10,4.91
1540344072725,38.03,32.95,5.08,4.92
1540344072931,37.99,32.99,5.00,4.92
1540344073127,38.09,32.97,5.12,4.93
1540344073328,38.03,32.89,5.14,4.93
1540344073524,38.01,32.85,5.16,4.94
1540344073724,38.03,32.83,5.20,4.95
1540344073929,38.05,32.83,5.22,4.96
1540344074126,38.05,32.83,5.22,4.96
1540344074327,38.03,32.85,5.18,4.97
1540344074523,38.03,32.83,5.20,4.98
1540344074728,38.01,32.85,5.16,4.98
1540344074925,38.09,32.85,5.24,4.99
1540344075126,38.11,32.89,5.22,5.00
1540344075326,38.09,32.85,5.24,5.00
1540344075527,38.09,32.89,5.20,5.01
1540344075728,38.17,32.85,5.32,5.02
1540344075925,38.11,32.89,5.22,5.03
1540344076125,38.11,32.95,5.16,5.04
1540344076321,38.11,33.07,5.04,5.04
1540344076527,38.09,33.19,4.90,5.05
1540344076723,38.11,33.27,4.84,5.05
1540344076924,38.11,33.13,4.98,5.06
1540344077128,38.11,33.05,5.06,5.06
1540344077325,38.09,33.05,5.04,5.06
1540344077526,38.11,33.13,4.98,5.06
1540344077722,38.09,33.17,4.92,5.06
1540344077923,38.13,33.21,4.92,5.06
1540344078120,38.09,33.27,4.82,5.06
1540344078324,38.13,33.25,4.88,5.06
1540344078525,38.09,33.27,4.82,5.06
1540344078721,38.09,33.33,4.76,5.05
1540344078927,38.11,33.41,4.70,5.05
1540344079123,38.09,33.47,4.62,5.05
1540344079324,38.05,33.41,4.64,5.04
1540344079520,38.09,33.47,4.62,5.04
1540344079721,38.09,33.43,4.66,5.03
1540344079926,38.05,33.47,4.58,5.02
1540344080122,38.11,33.39,4.72,5.02
1540344080324,38.11,33.27,4.84,5.00
1540344080520,38.03,33.19,4.84,5.00
1540344080721,38.13,32.99,5.14,4.99
1540344080921,38.19,32.99,5.20,4.98
1540344081122,38.11,33.03,5.08,4.98
1540344081323,38.11,33.21,4.90,4.97
1540344081519,38.09,33.19,4.90,4.97
1540344081724,38.09,33.21,4.88,4.96
1540344081921,38.13,33.27,4.86,4.96
1540344082121,38.01,33.29,4.72,4.96
1540344082317,38.05,33.41,4.64,4.95
1540344082519,38.05,33.39,4.66,4.95
1540344082719,38.11,33.41,4.70,4.95
1540344082920,38.11,33.41,4.70,4.94
1540344083120,38.09,33.43,4.66,4.94
1540344083317,38.09,33.41,4.68,4.93
1540344083522,38.01,33.35,4.66,4.93
1540344083718,38.09,33.35,4.74,4.92
1540344083920,38.05,33.25,4.80,4.91
1540344084116,38.01,33.05,4.96,4.91
1540344084317,38.05,32.99,5.06,4.90
1540344084521,38.09,32.95,5.14,4.90
1540344084718,38.09,32.89,5.20,4.89
1540344084919,38.09,32.89,5.20,4.89
1540344085116,38.09,32.91,5.18,4.89
1540344085320,38.13,32.99,5.14,4.89
1540344085517,38.05,33.17,4.88,4.90
1540344085717,38.09,33.19,4.90,4.90
1540344085918,38.11,33.17,4.94,4.90
1540344086114,38.05,33.21,4.84,4.91
1540344086320,38.03,33.27,4.76,4.91
1540344086516,38.09,33.33,4.76,4.91
1540344086717,38.09,33.27,4.82,4.91
1540344086913,38.05,33.13,4.92,4.91
1540344087118,38.05,33.07,4.98,4.91
1540344087319,38.17,32.97,5.20,4.91
1540344087515,38.09,32.91,5.18,4.91
1540344087716,38.09,32.91,5.18,4.91
1540344087912,38.05,32.99,5.06,4.91
1540344088117,38.11,33.05,5.06,4.92
1540344088314,38.05,33.03,5.02,4.92
1540344088515,38.11,33.07,5.04,4.93
1540344088716,38.03,33.27,4.76,4.93
1540344088916,38.11,33.33,4.78,4.93
1540344089117,38.11,33.49,4.62,4.93
1540344089314,38.11,33.47,4.64,4.93
1540344089514,38.05,33.43,4.62,4.93
1540344089711,38.09,33.41,4.68,4.92
1540344089916,38.05,33.25,4.80,4.92
1540344090112,38.11,33.11,5.00,4.92
1540344090312,38.05,33.05,5.00,4.91
1540344090517,38.03,32.97,5.06,4.92
1540344090714,38.05,32.99,5.06,4.91
1540344090915,38.03,33.13,4.90,4.91
1540344091112,38.09,33.19,4.90,4.91
1540344091312,38.05,33.27,4.78,4.91
1540344091509,38.05,33.25,4.80,4.91
1540344091714,38.09,33.25,4.84,4.91
1540344091914,38.09,33.17,4.92,4.91
1540344092111,38.09,33.05,5.04,4.91
1540344092311,38.11,32.99,5.12,4.91
1540344092512,38.05,32.95,5.10,4.91
1540344092713,38.05,32.97,5.08,4.91
1540344092913,38.11,32.85,5.26,4.91
1540344093111,38.11,32.97,5.14,4.91
1540344093315,38.05,32.99,5.06,4.91
1540344093512,38.03,32.97,5.06,4.92
1540344093712,38.13,33.05,5.08,4.92
1540344093909,38.11,33.07,5.04,4.93
1540344094110,38.09,33.05,5.04,4.93
1540344094307,38.11,33.07,5.04,4.93
1540344094511,38.05,33.11,4.94,4.94
1540344094712,38.05,32.97,5.08,4.94
1540344094908,38.11,32.95,5.16,4.95
1540344095114,38.05,32.99,5.06,4.95
1540344095310,38.11,32.97,5.14,4.95
1540344095511,38.09,32.95,5.14,4.96
1540344095707,38.05,32.97,5.08,4.96
1540344095908,38.11,32.99,5.12,4.97
1540344096112,38.05,32.91,5.14,4.98
1540344096309,38.11,32.81,5.30,4.98
1540344096510,38.09,32.71,5.38,4.99
1540344096706,38.11,32.63,5.48,4.99
1540344096912,38.09,32.53,5.56,5.00
1540344097108,38.05,32.53,5.52,5.01
1540344097308,38.09,32.45,5.64,5.01
1540344097510,38.11,32.47,5.64,5.03
1540344097705,38.13,32.41,5.72,5.04
1540344097911,38.11,32.35,5.76,5.05
1540344098107,38.09,32.35,5.74,5.07
1540344098308,38.11,32.41,5.70,5.08
1540344098504,38.17,32.45,5.72,5.10
1540344098710,38.13,32.45,5.68,5.11
1540344098910,38.11,32.39,5.72,5.13
1540344099107,38.09,32.27,5.82,5.15
1540344099307,38.09,32.27,5.82,5.17
1540344099504,38.11,32.33,5.78,5.19
1540344099709,38.11,32.35,5.76,5.20
1540344099906,38.17,32.39,5.78,5.22
1540344100106,38.13,32.41,5.72,5.24
1540344100311,38.11,32.41,5.70,5.26
1540344100507,38.17,32.45,5.72,5.28
