1539850921104,36.63,27.17,9.46,9.32
1539850921307,36.61,27.17,9.44,9.33
1539850921511,36.61,27.21,9.40,9.32
1539850921714,36.55,27.21,9.34,9.33
1539850921839,Interruption
1539850921917,36.61,27.23,9.38,9.33
1539850922104,36.61,27.23,9.38,9.33
1539850922307,36.61,27.23,9.38,9.34
1539850922495,Reaction,0,0,0,656
1539850922511,36.65,27.23,9.42,9.33
1539850922714,36.63,27.23,9.40,9.34
1539850922901,36.61,27.21,9.40,9.34
1539850923104,36.63,27.23,9.40,9.34
1539850923308,36.61,27.23,9.38,9.35
1539850923511,36.57,27.17,9.40,9.34
1539850923714,36.65,27.23,9.42,9.35
1539850923901,36.63,27.17,9.46,9.35
1539850924105,36.63,27.17,9.46,9.35
1539850924308,36.57,27.21,9.36,9.36
1539850924511,36.63,27.21,9.42,9.35
1539850924698,36.61,27.11,9.50,9.36
1539850924901,36.57,27.21,9.36,9.36
1539850925105,36.57,27.23,9.34,9.36
1539850925308,36.55,27.21,9.34,9.37
1539850925495,36.63,27.21,9.42,9.36
1539850925714,36.61,27.25,9.36,9.37
1539850925901,36.57,27.21,9.36,9.37
1539850926105,36.55,27.23,9.32,9.37
1539850926308,36.61,27.23,9.38,9.37
1539850926511,36.61,27.23,9.38,9.37
1539850926698,36.57,27.21,9.36,9.37
1539850926902,36.61,27.23,9.38,9.37
1539850927105,36.57,27.23,9.34,9.37
1539850927308,36.55,27.23,9.32,9.38
1539850927511,36.57,27.25,9.32,9.37
1539850927698,36.55,27.21,9.34,9.38
1539850927902,36.63,27.21,9.42,9.37
1539850928105,36.61,27.23,9.38,9.37
1539850928308,36.57,27.21,9.36,9.38
1539850928511,36.55,27.23,9.32,9.37
1539850928699,36.61,27.23,9.38,9.38
1539850928902,36.55,27.21,9.34,9.37
1539850929105,36.61,27.23,9.38,9.37
1539850929308,36.53,27.23,9.30,9.38
1539850929496,36.57,27.21,9.36,9.37
1539850929699,36.55,27.23,9.32,9.37
1539850929902,36.55,27.23,9.32,9.37
1539850930105,36.55,27.23,9.32,9.37
1539850930292,36.53,27.29,9.24,9.37
1539850930496,36.57,27.23,9.34,9.36
1539850930699,36.57,27.15,9.42,9.37
1539850930902,36.49,27.17,9.32,9.36
1539850931105,36.53,27.11,9.42,9.36
1539850931308,36.55,27.15,9.40,9.37
1539850931496,36.49,27.17,9.32,9.36
1539850931699,36.53,27.23,9.30,9.37
1539850931902,36.61,27.21,9.40,9.36
1539850932105,36.55,27.21,9.34,9.36
1539850932308,36.49,27.23,9.26,9.37
1539850932496,36.53,27.29,9.24,9.36
1539850932543,Interruption
1539850932699,36.55,27.23,9.32,9.36
1539850932902,36.55,27.23,9.32,9.36
1539850933105,36.49,27.21,9.28,9.36
1539850933136,Reaction,0,0,0,593
1539850933308,36.55,27.23,9.32,9.36
1539850933496,36.53,27.23,9.30,9.35
1539850933699,36.57,27.21,9.36,9.36
1539850933902,36.55,27.21,9.34,9.35
1539850934105,36.53,27.11,9.42,9.35
1539850934292,36.47,27.23,9.24,9.36
1539850934496,36.49,27.17,9.32,9.35
1539850934699,36.55,27.21,9.34,9.35
1539850934902,36.55,27.17,9.38,9.35
1539850935089,36.55,27.15,9.40,9.35
1539850935292,36.49,27.17,9.32,9.35
1539850935496,36.55,27.17,9.38,9.34
1539850935699,36.53,27.15,9.38,9.35
1539850935902,36.49,27.11,9.38,9.35
1539850936105,36.53,27.17,9.36,9.34
1539850936292,36.55,27.15,9.40,9.35
1539850936496,36.53,27.11,9.42,9.34
1539850936699,36.55,27.15,9.40,9.35
1539850936902,36.45,27.11,9.34,9.35
1539850937105,36.49,27.09,9.40,9.35
1539850937293,36.49,27.09,9.40,9.35
1539850937496,36.49,27.17,9.32,9.34
1539850937699,36.53,27.17,9.36,9.35
1539850937902,36.47,27.11,9.36,9.35
1539850938090,36.45,27.17,9.28,9.35
1539850938293,36.47,27.21,9.26,9.36
1539850938496,36.53,27.17,9.36,9.35
1539850938699,36.53,27.21,9.32,9.35
1539850938902,36.49,27.23,9.26,9.35
1539850939090,36.49,27.23,9.26,9.35
1539850939293,36.55,27.15,9.40,9.36
1539850939496,36.57,27.11,9.46,9.35
1539850939699,36.53,27.23,9.30,9.35
1539850939887,36.49,27.23,9.26,9.35
1539850940090,36.53,27.23,9.30,9.35
1539850940293,36.49,27.23,9.26,9.35
1539850940496,36.53,27.17,9.36,9.34
1539850940699,36.47,27.23,9.24,9.35
1539850940887,36.53,27.17,9.36,9.35
1539850941090,36.53,27.23,9.30,9.34
1539850941293,36.53,27.21,9.32,9.35
1539850941496,36.53,27.23,9.30,9.34
1539850941699,36.49,27.15,9.34,9.34
1539850941887,36.53,27.17,9.36,9.34
1539850942090,36.55,27.23,9.32,9.34
1539850942293,36.49,27.21,9.28,9.34
1539850942496,36.49,27.21,9.28,9.33
1539850942699,36.53,27.15,9.38,9.34
1539850942887,36.49,27.15,9.34,9.34
1539850943090,36.45,27.17,9.28,9.33
1539850943183,Interruption
1539850943293,36.53,27.23,9.30,9.34
1539850943496,36.49,27.21,9.28,9.33
1539850943699,36.55,27.11,9.44,9.34
1539850943871,Reaction,0,0,0,688
1539850943887,36.47,27.17,9.30,9.33
1539850944090,36.53,27.21,9.32,9.33
1539850944293,36.55,27.21,9.34,9.34
1539850944496,36.57,27.17,9.40,9.33
1539850944684,36.49,27.11,9.38,9.34
1539850944887,36.49,27.11,9.38,9.33
1539850945090,36.55,27.17,9.38,9.33
1539850945293,36.53,27.23,9.30,9.34
1539850945496,36.53,27.21,9.32,9.33
1539850945684,36.55,27.17,9.38,9.34
1539850945887,36.55,27.21,9.34,9.33
1539850946090,36.49,27.21,9.28,9.33
1539850946293,36.49,27.17,9.32,9.34
1539850946496,36.49,27.17,9.32,9.33
1539850946684,36.53,27.17,9.36,9.34
1539850946887,36.53,27.17,9.36,9.33
1539850947090,36.49,27.17,9.32,9.33
1539850947293,36.57,27.17,9.40,9.34
1539850947496,36.49,27.17,9.32,9.33
1539850947684,36.53,27.17,9.36,9.33
1539850947887,36.55,27.17,9.38,9.33
1539850948090,36.55,27.15,9.40,9.33
1539850948293,36.49,27.17,9.32,9.34
1539850948481,36.49,27.15,9.34,9.33
1539850948684,36.53,27.17,9.36,9.33
1539850948887,36.53,27.11,9.42,9.33
1539850949090,36.55,27.17,9.38,9.33
1539850949293,36.53,27.15,9.38,9.34
1539850949496,36.49,27.11,9.38,9.33
1539850949684,36.53,27.15,9.38,9.34
1539850949887,36.49,27.21,9.28,9.33
1539850950090,36.53,27.21,9.32,9.33
