1539819561564,35.75,33.49,2.26,2.39
1539819561767,35.63,33.49,2.14,2.39
1539819561970,35.69,33.47,2.22,2.38
1539819562173,35.69,33.49,2.20,2.38
1539819562361,35.75,33.47,2.28,2.38
1539819562579,35.71,33.43,2.28,2.37
1539819562767,35.67,33.39,2.28,2.37
1539819562970,35.67,33.49,2.18,2.37
1539819563173,35.67,33.39,2.28,2.36
1539819563376,35.69,33.35,2.34,2.36
1539819563564,35.71,33.27,2.44,2.35
1539819563767,35.61,33.43,2.18,2.35
1539819563970,35.67,33.33,2.34,2.35
1539819564173,35.67,33.41,2.26,2.34
1539819564376,35.75,33.41,2.34,2.34
1539819564564,35.69,33.33,2.36,2.34
1539819564767,35.67,33.33,2.34,2.34
1539819564970,35.75,33.29,2.46,2.34
1539819565173,35.69,33.41,2.28,2.33
1539819565376,35.67,33.39,2.28,2.33
1539819565564,35.69,33.39,2.30,2.33
1539819565657,Interruption
1539819565767,35.69,33.35,2.34,2.33
1539819565970,Reaction,0,0,0,313
1539819565970,35.63,33.39,2.24,2.33
1539819566173,35.63,33.41,2.22,2.32
1539819566361,35.61,33.43,2.18,2.33
1539819566564,35.63,33.43,2.20,2.32
1539819566767,35.67,33.49,2.18,2.32
1539819566970,35.55,33.43,2.12,2.32
1539819567158,35.63,33.39,2.24,2.32
1539819567361,35.59,33.43,2.16,2.31
1539819567564,35.53,33.43,2.10,2.31
1539819567767,35.51,33.39,2.12,2.31
1539819567970,35.53,33.39,2.14,2.30
1539819568173,35.55,33.41,2.14,2.30
1539819568361,35.51,33.41,2.10,2.30
1539819568564,35.55,33.35,2.20,2.29
1539819568767,35.63,33.25,2.38,2.29
1539819568970,35.59,33.27,2.32,2.28
1539819569173,35.53,33.27,2.26,2.28
1539819569361,35.55,33.21,2.34,2.28
1539819569564,35.55,33.27,2.28,2.28
1539819569767,35.59,33.27,2.32,2.27
1539819569970,35.59,33.17,2.42,2.27
1539819570173,35.59,33.17,2.42,2.27
1539819570361,35.55,33.11,2.44,2.27
1539819570564,35.59,33.19,2.40,2.27
1539819570767,35.67,33.19,2.48,2.27
1539819570970,35.61,33.11,2.50,2.28
1539819571158,35.53,33.13,2.40,2.27
1539819571361,35.53,33.13,2.40,2.28
1539819571564,35.53,33.11,2.42,2.28
1539819571767,35.59,33.07,2.52,2.28
1539819571954,35.61,33.11,2.50,2.29
1539819572158,35.55,33.05,2.50,2.29
1539819572361,35.55,33.11,2.44,2.30
1539819572564,35.55,32.99,2.56,2.30
1539819572767,35.47,32.99,2.48,2.30
1539819572970,35.61,32.99,2.62,2.31
1539819573158,35.59,32.95,2.64,2.31
1539819573361,35.59,32.99,2.60,2.32
1539819573564,35.59,33.05,2.54,2.33
1539819573751,35.59,33.07,2.52,2.33
1539819573970,35.53,33.07,2.46,2.34
1539819574158,35.55,33.11,2.44,2.35
1539819574361,35.51,33.17,2.34,2.36
1539819574564,35.47,33.03,2.44,2.36
1539819574767,35.53,33.03,2.50,2.36
1539819574955,35.55,33.07,2.48,2.37
1539819575158,35.53,33.17,2.36,2.37
1539819575361,35.45,33.25,2.20,2.38
1539819575564,35.47,33.25,2.22,2.38
1539819575767,35.45,33.19,2.26,2.38
1539819575955,35.43,33.21,2.22,2.39
1539819576017,Interruption
1539819576158,35.43,33.25,2.18,2.39
1539819576314,Reaction,0,0,0,297
1539819576361,35.43,33.19,2.24,2.39
1539819576564,35.43,33.19,2.24,2.39
1539819576767,35.43,33.21,2.22,2.38
1539819576955,35.43,33.13,2.30,2.38
1539819577158,35.43,33.17,2.26,2.38
1539819577361,35.39,33.19,2.20,2.38
1539819577564,35.37,33.17,2.20,2.38
1539819577752,35.37,33.11,2.26,2.37
1539819577955,35.39,33.07,2.32,2.37
1539819578158,35.45,33.05,2.40,2.37
1539819578361,35.47,32.97,2.50,2.36
1539819578549,35.39,32.97,2.42,2.36
1539819578752,35.47,32.99,2.48,2.36
1539819578955,35.47,32.99,2.48,2.36
1539819579158,35.45,33.05,2.40,2.36
1539819579361,35.47,32.95,2.52,2.36
1539819579564,35.51,32.95,2.56,2.36
1539819579752,35.45,32.95,2.50,2.36
1539819579955,35.51,32.99,2.52,2.37
1539819580158,35.47,33.03,2.44,2.37
1539819580361,35.47,33.03,2.44,2.37
1539819580564,35.45,33.05,2.40,2.37
1539819580752,35.43,33.05,2.38,2.37
1539819580955,35.39,32.99,2.40,2.38
1539819581158,35.45,32.99,2.46,2.38
1539819581361,35.51,33.05,2.46,2.38
