1539676289832,34.71,37.71,-3.00,-2.85
1539676290029,34.81,37.75,-2.94,-2.84
1539676290229,34.81,37.75,-2.94,-2.84
1539676290427,34.81,37.77,-2.96,-2.84
1539676290631,34.91,37.77,-2.86,-2.84
1539676290832,34.91,37.71,-2.80,-2.85
1539676291028,34.85,37.75,-2.90,-2.85
1539676291229,34.83,37.75,-2.92,-2.85
1539676291426,34.77,37.77,-3.00,-2.85
1539676291631,34.71,37.71,-3.00,-2.85
1539676291827,34.71,37.71,-3.00,-2.85
1539676292027,34.77,37.77,-3.00,-2.85
1539676292224,34.85,37.75,-2.90,-2.86
1539676292429,34.85,37.75,-2.90,-2.86
1539676292630,34.91,37.71,-2.80,-2.86
1539676292826,34.97,37.77,-2.80,-2.87
1539676293027,34.97,37.75,-2.78,-2.87
1539676293224,35.01,37.71,-2.70,-2.87
1539676293429,35.13,37.77,-2.64,-2.87
1539676293625,35.09,37.79,-2.70,-2.87
1539676293826,34.93,37.75,-2.82,-2.87
1539676294031,34.85,37.75,-2.90,-2.87
1539676294228,34.81,37.69,-2.88,-2.87
1539676294428,34.85,37.77,-2.92,-2.87
1539676294624,34.91,37.77,-2.86,-2.86
1539676294825,34.91,37.71,-2.80,-2.87
1539676295021,34.85,37.75,-2.90,-2.86
1539676295227,34.77,37.75,-2.98,-2.86
1539676295423,34.83,37.75,-2.92,-2.86
1539676295568,Interruption
1539676295624,34.83,37.77,-2.94,-2.86
1539676295828,34.77,37.75,-2.98,-2.87
1539676295994,Reaction,0,0,0,426
1539676296026,34.69,37.77,-3.08,-2.86
1539676296226,34.71,37.75,-3.04,-2.87
1539676296423,34.71,37.77,-3.06,-2.87
