1539748708738,34.15,36.85,-2.70,-2.60
1539748708939,34.09,36.89,-2.80,-2.60
1539748709135,34.15,36.87,-2.72,-2.59
1539748709340,34.03,36.89,-2.86,-2.60
1539748709540,34.13,36.89,-2.76,-2.60
1539748709738,34.03,36.89,-2.86,-2.60
1539748709938,34.09,36.87,-2.78,-2.60
1539748710134,34.03,36.89,-2.86,-2.60
1539748710339,34.03,36.81,-2.78,-2.61
1539748710540,34.03,36.89,-2.86,-2.61
1539748710737,34.15,36.89,-2.74,-2.61
1539748710941,34.21,36.85,-2.64,-2.62
1539748711138,34.23,36.85,-2.62,-2.62
1539748711339,34.25,36.89,-2.64,-2.63
1539748711536,34.25,36.89,-2.64,-2.63
1539748711736,34.23,36.89,-2.66,-2.63
1539748711941,34.23,36.95,-2.72,-2.64
1539748712137,34.21,36.93,-2.72,-2.64
1539748712338,34.09,36.93,-2.84,-2.64
1539748712534,34.03,36.89,-2.86,-2.64
1539748712739,34.13,36.93,-2.80,-2.64
1539748712940,33.99,36.97,-2.98,-2.65
1539748713136,33.99,36.97,-2.98,-2.65
1539748713338,34.09,37.01,-2.92,-2.66
1539748713534,34.15,37.01,-2.86,-2.66
1539748713739,34.15,37.01,-2.86,-2.66
1539748713936,34.17,36.93,-2.76,-2.67
1539748714136,34.21,36.95,-2.74,-2.67
1539748714336,34.17,36.93,-2.76,-2.68
1539748714534,34.21,36.89,-2.68,-2.69
1539748714738,34.17,36.97,-2.80,-2.69
1539748714934,34.09,36.89,-2.80,-2.69
1539748715135,34.09,36.95,-2.86,-2.70
1539748715336,34.09,36.95,-2.86,-2.70
1539748715537,34.13,36.95,-2.82,-2.71
1539748715738,34.15,36.89,-2.74,-2.71
1539748715934,34.09,36.93,-2.84,-2.71
1539748716135,34.09,36.93,-2.84,-2.72
1539748716339,34.13,36.87,-2.74,-2.72
1539748716537,34.03,36.79,-2.76,-2.72
1539748716737,34.13,36.81,-2.68,-2.73
1539748716934,34.09,36.89,-2.80,-2.73
1539748717134,34.13,36.81,-2.68,-2.73
1539748717331,34.13,36.85,-2.72,-2.73
1539748717536,34.15,36.79,-2.64,-2.74
1539748717736,34.21,36.81,-2.60,-2.73
1539748717933,34.21,36.85,-2.64,-2.74
1539748718138,34.23,36.79,-2.56,-2.74
1539748718334,34.31,36.79,-2.48,-2.74
1539748718535,34.29,36.77,-2.48,-2.74
1539748718736,34.23,36.81,-2.58,-2.73
1539748718932,34.33,36.79,-2.46,-2.73
1539748719137,34.31,36.85,-2.54,-2.73
1539748719334,34.23,36.81,-2.58,-2.72
1539748719535,34.25,36.85,-2.60,-2.72
1539748719731,34.23,36.87,-2.64,-2.71
1539748719932,34.17,36.85,-2.68,-2.71
1539748720136,34.25,36.89,-2.64,-2.71
1539748720333,34.31,36.93,-2.62,-2.70
1539748720534,34.29,36.89,-2.60,-2.70
1539748720730,34.25,36.93,-2.68,-2.70
1539748720935,34.31,36.89,-2.58,-2.70
1539748721136,34.23,36.93,-2.70,-2.69
1539748721333,34.25,36.95,-2.70,-2.69
1539748721534,34.15,36.97,-2.82,-2.69
1539748721730,34.17,37.01,-2.84,-2.69
1539748721935,34.15,36.93,-2.78,-2.69
1539748722131,34.07,36.93,-2.86,-2.69
1539748722332,34.07,36.93,-2.86,-2.69
1539748722537,34.17,36.97,-2.80,-2.69
1539748722734,34.15,36.97,-2.82,-2.69
1539748722934,34.17,37.05,-2.88,-2.69
1539748723131,34.13,37.01,-2.88,-2.69
1539748723331,34.15,36.95,-2.80,-2.70
1539748723536,34.21,36.95,-2.74,-2.70
1539748723733,34.13,36.93,-2.80,-2.70
1539748723933,34.13,36.95,-2.82,-2.71
1539748724129,33.99,36.95,-2.96,-2.71
1539748724331,34.01,36.95,-2.94,-2.71
1539748724527,34.09,37.05,-2.96,-2.72
1539748724732,34.13,37.01,-2.88,-2.72
1539748724933,34.17,36.97,-2.80,-2.73
1539748725130,34.23,36.97,-2.74,-2.73
1539748725334,34.25,37.03,-2.78,-2.74
1539748725530,34.23,37.01,-2.78,-2.74
1539748725731,34.23,36.97,-2.74,-2.74
1539748725932,34.17,36.95,-2.78,-2.75
1539748726129,34.17,36.89,-2.72,-2.75
1539748726333,34.15,36.93,-2.78,-2.75
1539748726530,34.17,36.89,-2.72,-2.75
1539748726730,34.13,36.89,-2.76,-2.75
1539748726932,34.09,36.89,-2.80,-2.76
1539748727128,34.09,36.89,-2.80,-2.76
1539748727333,34.13,36.93,-2.80,-2.76
1539748727530,34.13,36.85,-2.72,-2.76
1539748727730,34.23,36.85,-2.62,-2.76
1539748727927,34.31,36.93,-2.62,-2.76
1539748728132,34.29,36.97,-2.68,-2.76
1539748728332,34.25,36.95,-2.70,-2.76
1539748728529,34.17,36.95,-2.78,-2.76
1539748728730,34.25,37.09,-2.84,-2.76
1539748728926,34.23,37.11,-2.88,-2.76
1539748729131,34.39,37.11,-2.72,-2.76
1539748729332,34.33,37.05,-2.72,-2.76
1539748729529,34.43,37.05,-2.62,-2.76
1539748729729,34.43,37.09,-2.66,-2.76
1539748729926,34.39,37.09,-2.70,-2.76
1539748730131,34.43,37.05,-2.62,-2.76
1539748730331,34.33,36.95,-2.62,-2.75
1539748730527,34.25,37.03,-2.78,-2.75
1539748730732,34.25,37.03,-2.78,-2.75
1539748730929,34.17,36.95,-2.78,-2.75
1539748731129,34.23,37.03,-2.80,-2.75
1539748731326,34.21,37.11,-2.90,-2.75
1539748731527,34.13,37.05,-2.92,-2.75
1539748731732,34.13,37.03,-2.90,-2.75
1539748731928,34.01,37.01,-3.00,-2.75
1539748732129,34.09,37.03,-2.94,-2.75
1539748732326,34.13,37.09,-2.96,-2.75
1539748732527,34.21,37.05,-2.84,-2.76
1539748732732,34.25,37.05,-2.80,-2.76
1539748732928,34.29,37.09,-2.80,-2.76
1539748733129,34.31,37.11,-2.80,-2.76
1539748733325,34.37,37.05,-2.68,-2.77
1539748733530,34.39,37.09,-2.70,-2.77
1539748733727,34.39,37.09,-2.70,-2.77
1539748733927,34.43,37.11,-2.68,-2.77
1539748734128,34.45,37.05,-2.60,-2.77
1539748734324,34.47,36.95,-2.48,-2.77
1539748734529,34.51,37.03,-2.52,-2.77
1539748734726,34.51,36.95,-2.44,-2.77
1539748734927,34.43,36.97,-2.54,-2.76
1539748735127,34.39,36.95,-2.56,-2.76
1539748735324,34.29,37.03,-2.74,-2.76
1539748735529,34.31,37.03,-2.72,-2.75
1539748735726,34.29,37.01,-2.72,-2.75
1539748735926,34.21,37.05,-2.84,-2.75
1539748736131,34.21,36.95,-2.74,-2.74
1539748736327,34.23,37.01,-2.78,-2.74
1539748736527,34.29,37.03,-2.74,-2.74
1539748736724,34.23,37.05,-2.82,-2.74
1539748736925,34.21,37.05,-2.84,-2.74
1539748737122,34.25,37.13,-2.88,-2.73
1539748737327,34.23,37.13,-2.90,-2.74
1539748737528,34.13,37.19,-3.06,-2.74
1539748737724,34.15,37.25,-3.10,-2.74
1539748737929,34.15,37.21,-3.06,-2.74
1539748738126,34.21,37.17,-2.96,-2.74
1539748738326,34.21,37.19,-2.98,-2.75
1539748738527,34.25,37.19,-2.94,-2.76
1539748738724,34.23,37.13,-2.90,-2.76
1539748738929,34.21,37.13,-2.92,-2.77
1539748739125,34.17,37.11,-2.94,-2.77
1539748739325,34.23,37.17,-2.94,-2.78
1539748739521,34.21,37.13,-2.92,-2.78
1539748739723,34.17,37.11,-2.94,-2.79
1539748739928,34.25,37.17,-2.92,-2.79
1539748740124,34.25,37.09,-2.84,-2.80
1539748740325,34.21,37.17,-2.96,-2.80
1539748740521,34.23,37.09,-2.86,-2.81
1539748740726,34.23,37.09,-2.86,-2.81
1539748740927,34.21,37.09,-2.88,-2.82
1539748741124,34.23,37.05,-2.82,-2.82
1539748741324,34.31,36.97,-2.66,-2.82
1539748741520,34.25,36.97,-2.72,-2.82
1539748741726,34.15,37.03,-2.88,-2.82
1539748741922,34.03,37.03,-3.00,-2.83
1539748742123,34.09,37.09,-3.00,-2.82
1539748742324,34.13,36.97,-2.84,-2.83
1539748742524,34.15,37.03,-2.88,-2.83
1539748742725,34.23,37.03,-2.80,-2.83
