1539817464738,34.63,37.09,-2.46,-2.72
1539817464941,34.63,37.11,-2.48,-2.71
1539817465129,34.59,37.09,-2.50,-2.71
1539817465332,34.55,37.09,-2.54,-2.70
1539817465535,34.55,37.09,-2.54,-2.69
1539817465723,34.61,37.09,-2.48,-2.68
1539817465942,34.61,37.01,-2.40,-2.67
1539817466129,34.55,37.09,-2.54,-2.67
1539817466333,34.55,37.11,-2.56,-2.66
1539817466536,34.59,37.01,-2.42,-2.65
1539817466723,34.61,37.05,-2.44,-2.65
1539817466942,34.61,36.95,-2.34,-2.64
1539817467130,34.61,36.97,-2.36,-2.63
1539817467333,34.55,36.95,-2.40,-2.62
1539817467536,34.59,36.95,-2.36,-2.62
1539817467723,34.59,36.93,-2.34,-2.61
1539817467926,34.67,36.87,-2.20,-2.60
1539817468130,34.63,36.93,-2.30,-2.60
1539817468333,34.67,36.93,-2.26,-2.59
1539817468536,34.59,36.95,-2.36,-2.58
1539817468739,34.61,37.01,-2.40,-2.57
1539817468926,34.55,36.93,-2.38,-2.56
1539817469130,34.61,36.95,-2.34,-2.56
1539817469333,34.61,36.93,-2.32,-2.55
1539817469536,34.59,36.93,-2.34,-2.54
1539817469739,34.61,36.97,-2.36,-2.53
1539817469926,34.59,36.95,-2.36,-2.53
1539817470130,34.53,36.89,-2.36,-2.52
1539817470333,34.63,36.89,-2.26,-2.51
1539817470536,34.59,36.95,-2.36,-2.51
1539817470723,34.63,36.87,-2.24,-2.50
1539817470927,34.61,36.93,-2.32,-2.49
1539817471130,34.67,36.89,-2.22,-2.48
1539817471333,34.59,36.89,-2.30,-2.47
1539817471536,34.55,36.85,-2.30,-2.47
1539817471724,34.53,36.87,-2.34,-2.46
1539817471927,34.51,36.87,-2.36,-2.45
1539817472130,34.59,36.85,-2.26,-2.45
1539817472333,34.61,36.81,-2.20,-2.44
1539817472536,34.51,36.85,-2.34,-2.44
1539817472724,34.55,36.79,-2.24,-2.43
1539817472927,34.55,36.79,-2.24,-2.42
1539817473130,34.55,36.77,-2.22,-2.42
1539817473333,34.53,36.73,-2.20,-2.41
1539817473521,34.53,36.73,-2.20,-2.41
1539817473724,34.55,36.73,-2.18,-2.40
1539817473927,34.53,36.77,-2.24,-2.39
1539817474130,34.61,36.73,-2.12,-2.39
1539817474333,34.51,36.77,-2.26,-2.38
1539817474521,34.59,36.77,-2.18,-2.37
1539817474724,34.61,36.73,-2.12,-2.36
1539817474927,34.59,36.77,-2.18,-2.36
1539817475130,34.55,36.71,-2.16,-2.35
1539817475334,34.55,36.77,-2.22,-2.34
1539817475521,34.53,36.73,-2.20,-2.34
1539817475724,34.53,36.73,-2.20,-2.33
1539817475927,34.53,36.69,-2.16,-2.33
1539817476131,34.55,36.69,-2.14,-2.32
1539817476333,34.59,36.69,-2.10,-2.31
1539817476521,34.61,36.69,-2.08,-2.31
1539817476724,34.55,36.71,-2.16,-2.30
1539817476927,34.47,36.65,-2.18,-2.29
1539817477130,34.51,36.69,-2.18,-2.29
1539817477333,34.53,36.63,-2.10,-2.28
1539817477521,34.53,36.53,-2.00,-2.28
1539817477724,34.51,36.49,-1.98,-2.27
1539817477927,34.53,36.45,-1.92,-2.27
1539817478131,34.55,36.41,-1.86,-2.26
1539817478318,34.55,36.33,-1.78,-2.25
1539817478521,34.59,36.33,-1.74,-2.24
1539817478724,34.55,36.37,-1.82,-2.23
1539817478927,34.59,36.29,-1.70,-2.23
1539817479131,34.55,36.39,-1.84,-2.22
1539817479318,34.55,36.39,-1.84,-2.20
1539817479521,34.51,36.37,-1.86,-2.19
1539817479724,34.55,36.41,-1.86,-2.18
1539817479928,34.53,36.45,-1.92,-2.17
1539817480131,34.53,36.45,-1.92,-2.16
1539817480318,34.51,36.45,-1.94,-2.15
1539817480521,34.45,36.45,-2.00,-2.14
1539817480725,34.51,36.53,-2.02,-2.13
1539817480928,34.45,36.53,-2.08,-2.12
1539817481115,34.51,36.53,-2.02,-2.11
1539817481319,34.51,36.53,-2.02,-2.11
1539817481522,34.55,36.53,-1.98,-2.10
1539817481725,34.53,36.53,-2.00,-2.09
1539817481928,34.47,36.53,-2.06,-2.09
1539817482116,34.55,36.47,-1.92,-2.08
1539817482319,34.51,36.47,-1.96,-2.08
1539817482522,34.55,36.49,-1.94,-2.07
1539817482725,34.51,36.41,-1.90,-2.07
1539817482928,34.53,36.49,-1.96,-2.06
1539817483116,34.51,36.45,-1.94,-2.06
1539817483319,34.55,36.45,-1.90,-2.05
1539817483522,34.53,36.47,-1.94,-2.05
1539817483725,34.51,36.53,-2.02,-2.04
1539817483928,34.51,36.49,-1.98,-2.04
1539817484116,34.53,36.47,-1.94,-2.03
1539817484319,34.55,36.49,-1.94,-2.03
1539817484522,34.59,36.49,-1.90,-2.03
1539817484725,34.61,36.49,-1.88,-2.02
1539817484928,34.55,36.49,-1.94,-2.02
1539817485131,34.55,36.49,-1.94,-2.02
1539817485319,34.55,36.49,-1.94,-2.01
1539817485522,34.53,36.55,-2.02,-2.01
1539817485725,34.55,36.57,-2.02,-2.01
1539817485928,34.59,36.45,-1.86,-2.01
1539817486116,34.59,36.47,-1.88,-2.00
1539817486319,34.55,36.55,-2.00,-2.00
1539817486522,34.51,36.49,-1.98,-2.00
1539817486725,34.55,36.49,-1.94,-2.00
1539817486913,34.55,36.55,-2.00,-1.99
1539817487116,34.55,36.49,-1.94,-1.99
1539817487319,34.55,36.53,-1.98,-1.99
1539817487522,34.51,36.53,-2.02,-1.99
1539817487725,34.53,36.49,-1.96,-1.99
1539817487913,34.53,36.53,-2.00,-1.99
1539817488116,34.59,36.53,-1.94,-1.99
1539817488319,34.55,36.49,-1.94,-1.98
1539817488522,34.61,36.53,-1.92,-1.98
1539817488725,34.61,36.49,-1.88,-1.98
1539817488928,34.53,36.57,-2.04,-1.98
1539817489116,34.55,36.53,-1.98,-1.98
1539817489319,34.53,36.61,-2.08,-1.98
1539817489522,34.47,36.55,-2.08,-1.98
1539817489725,34.51,36.49,-1.98,-1.98
1539817489913,34.45,36.53,-2.08,-1.98
1539817490116,34.55,36.49,-1.94,-1.98
1539817490319,34.51,36.49,-1.98,-1.98
1539817490523,34.55,36.53,-1.98,-1.98
1539817490726,34.55,36.47,-1.92,-1.98
1539817490913,34.59,36.47,-1.88,-1.98
1539817491117,34.61,36.45,-1.84,-1.98
1539817491320,34.51,36.45,-1.94,-1.98
1539817491523,34.53,36.45,-1.92,-1.98
1539817491726,34.47,36.45,-1.98,-1.97
1539817491913,34.51,36.47,-1.96,-1.97
1539817492117,34.39,36.47,-2.08,-1.97
