1539818521988,34.67,36.31,-1.64,-1.74
1539818522175,34.69,36.33,-1.64,-1.74
1539818522379,34.63,36.31,-1.68,-1.73
1539818522582,34.71,36.33,-1.62,-1.73
1539818522785,34.67,36.31,-1.64,-1.72
1539818522988,34.67,36.17,-1.50,-1.72
1539818523176,34.69,36.05,-1.36,-1.72
1539818523379,34.69,35.91,-1.22,-1.71
1539818523582,34.69,35.85,-1.16,-1.71
1539818523785,34.69,35.93,-1.24,-1.70
1539818523973,34.71,36.17,-1.46,-1.69
1539818524191,34.75,36.37,-1.62,-1.68
1539818524379,34.81,36.57,-1.76,-1.67
1539818524582,34.81,36.69,-1.88,-1.67
1539818524785,34.89,36.73,-1.84,-1.66
1539818524973,34.93,36.71,-1.78,-1.66
1539818525176,34.99,36.77,-1.78,-1.65
1539818525379,34.99,36.73,-1.74,-1.65
1539818525582,35.07,36.65,-1.58,-1.65
1539818525770,35.05,36.65,-1.60,-1.65
1539818525988,35.07,36.69,-1.62,-1.65
1539818526176,35.21,36.71,-1.50,-1.65
1539818526379,35.13,36.69,-1.56,-1.65
1539818526582,35.19,36.71,-1.52,-1.65
1539818526785,35.23,36.73,-1.50,-1.64
1539818526973,35.27,36.79,-1.52,-1.64
1539818527176,35.35,36.77,-1.42,-1.64
1539818527379,35.37,36.73,-1.36,-1.63
1539818527582,35.31,36.79,-1.48,-1.63
1539818527785,35.37,36.79,-1.42,-1.62
1539818527973,35.29,36.77,-1.48,-1.62
1539818528176,35.31,36.77,-1.46,-1.61
1539818528379,35.29,36.77,-1.48,-1.61
1539818528582,35.27,36.73,-1.46,-1.61
1539818528770,35.27,36.73,-1.46,-1.60
1539818528973,35.27,36.77,-1.50,-1.60
1539818529176,35.23,36.69,-1.46,-1.59
1539818529379,35.27,36.71,-1.44,-1.59
1539818529583,35.31,36.71,-1.40,-1.58
1539818529770,35.29,36.69,-1.40,-1.58
1539818529973,35.27,36.65,-1.38,-1.57
1539818530176,35.21,36.69,-1.48,-1.57
1539818530379,35.27,36.63,-1.36,-1.56
1539818530567,35.21,36.55,-1.34,-1.56
1539818530786,35.15,36.55,-1.40,-1.55
1539818530973,35.19,36.57,-1.38,-1.55
1539818531176,35.15,36.49,-1.34,-1.54
1539818531379,35.13,36.53,-1.40,-1.53
1539818531583,35.09,36.57,-1.48,-1.53
1539818531770,35.13,36.57,-1.44,-1.52
1539818531973,35.13,36.61,-1.48,-1.52
1539818532176,35.15,36.61,-1.46,-1.51
1539818532364,35.09,36.61,-1.52,-1.51
1539818532583,35.15,36.57,-1.42,-1.51
1539818532770,35.15,36.57,-1.42,-1.50
1539818532973,35.13,36.57,-1.44,-1.50
1539818533176,35.13,36.47,-1.34,-1.50
1539818533379,35.13,36.53,-1.40,-1.49
1539818533567,35.13,36.49,-1.36,-1.49
1539818533770,34.99,36.49,-1.50,-1.49
1539818533973,35.01,36.41,-1.40,-1.48
1539818534177,34.99,36.45,-1.46,-1.48
